स्थिति,सूत्र
या निशा,-
निशा सर्वभूतानाम्,-
सर्वभूतानाम् तस्याम्,-
सर्वभूतानां तस्याम्,[[मोऽनुस्वारः (8.3.23)]]
तस्याम् जागर्ति,-
तस्यां जागर्ति,[[मोऽनुस्वारः (8.3.23)]]
जागर्ति संयमी,-
संयमी,-
यस्याम् जाग्रति,-
यस्यां जाग्रति,[[मोऽनुस्वारः (8.3.23)]]
जाग्रति भूतानि,-
भूतानि सा,-
सा निशा,-
निशा पश्यतस्,-
पश्यतस् मुनेस्,-
पश्यतरुँ मुनेस्,[[ससजुषो रुः (8.2.66)]]
पश्यतर् मुनेस्,[[तस्य लोपः (1.3.9)]]
पश्यत उ मुनेस्,[[हशि च (6.1.114)]]
पश्यतो मुनेस्,[[आद्गुणः (6.1.87)]]
मुनेस्,-
मुनेरुँ,[[ससजुषो रुः (8.2.66)]]
मुनेर्,[[तस्य लोपः (1.3.9)]]
मुनेः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
