स्थिति,सूत्र
अहो बत,-
बत महत्पापम्,-
महत्पापम् कर्तुम्,-
महत्पापं कर्तुम्,[[मोऽनुस्वारः (8.3.23)]]
कर्तुम् व्यवसितास्,-
कर्तुं व्यवसितास्,[[मोऽनुस्वारः (8.3.23)]]
व्यवसितास् वयम्,-
व्यवसितारुँ वयम्,[[ससजुषो रुः (8.2.66)]]
व्यवसितार् वयम्,[[तस्य लोपः (1.3.9)]]
व्यवसिताय् वयम्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
व्यवसिता वयम्,[[हलि सर्वेषाम् (8.3.22)]]
वयम्,-
यत् राज्यसुखलोभेन,-
यद् राज्यसुखलोभेन,[[झलां जशोऽन्ते (8.2.39)]]
राज्यसुखलोभेन हन्तुम्,-
हन्तुम् स्वजनम्,-
हन्तुं स्वजनम्,[[मोऽनुस्वारः (8.3.23)]]
स्वजनम् उद्यतास्,-
उद्यतास्,-
उद्यतारुँ,[[ससजुषो रुः (8.2.66)]]
उद्यतार्,[[तस्य लोपः (1.3.9)]]
उद्यताः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
