स्थिति,सूत्र
अन्तवन्तस् इमे,-
अन्तवन्तरुँ इमे,[[ससजुषो रुः (8.2.66)]]
अन्तवन्तर् इमे,[[तस्य लोपः (1.3.9)]]
अन्तवन्तय् इमे,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
अन्तवन्त इमे,[[लोपः शाकल्यस्य (8.3.19)]]
इमे देहास्,-
देहास् नित्यस्य,-
देहारुँ नित्यस्य,[[ससजुषो रुः (8.2.66)]]
देहार् नित्यस्य,[[तस्य लोपः (1.3.9)]]
देहाय् नित्यस्य,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
देहा नित्यस्य,[[हलि सर्वेषाम् (8.3.22)]]
नित्यस्य उक्तास्,-
नित्यस्योक्तास्,[[आद्गुणः (6.1.87)]]
नित्यस्योक्तास् शरीरिणस्,-
नित्यस्योक्तारुँ शरीरिणस्,[[ससजुषो रुः (8.2.66)]]
नित्यस्योक्तार् शरीरिणस्,[[तस्य लोपः (1.3.9)]]
नित्यस्योक्ताः शरीरिणस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
नित्यस्योक्ताः शरीरिणस्,[[वा शरि (8.3.36)]]
शरीरिणस्,-
शरीरिणरुँ,[[ससजुषो रुः (8.2.66)]]
शरीरिणर्,[[तस्य लोपः (1.3.9)]]
शरीरिणः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
अनाशिनस् अप्रमेयस्य,-
अनाशिनरुँ अप्रमेयस्य,[[ससजुषो रुः (8.2.66)]]
अनाशिनर् अप्रमेयस्य,[[तस्य लोपः (1.3.9)]]
अनाशिन उ अप्रमेयस्य,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
अनाशिनो अप्रमेयस्य,[[आद्गुणः (6.1.87)]]
अनाशिनोऽप्रमेयस्य,[[एङः पदान्तादति (6.1.109)]]
अनाशिनोऽप्रमेयस्य तस्मात्,-
तस्मात् युध्यस्व,-
तस्माद् युध्यस्व,[[झलां_जशोऽन्ते (8.2.39)]]
युध्यस्व भारत,-
भारत,-
