स्थिति,सूत्र
अक्षरम् ब्रह्म,-
अक्षरं ब्रह्म,[[मोऽनुस्वारः (8.3.23)]]
ब्रह्म परमम्,-
परमम् स्वभावस्,-
परमं स्वभावस्,[[मोऽनुस्वारः (8.3.23)]]
स्वभावस् अध्यात्मम्,-
स्वभावरुँ अध्यात्मम्,[[ससजुषो रुः (8.2.66)]]
स्वभावर् अध्यात्मम्,[[तस्य लोपः (1.3.9)]]
स्वभाव उ अध्यात्मम्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
स्वभावो अध्यात्मम्,[[आद्गुणः (6.1.87)]]
स्वभावोऽध्यात्मम्,[[एङः पदान्तादति (6.1.109)]]
स्वभावोऽध्यात्मम् उच्यते,-
उच्यते,-
भूतभावोद्भवकरस् विसर्गस्,-
भूतभावोद्भवकररुँ विसर्गस्,[[ससजुषो रुः (8.2.66)]]
भूतभावोद्भवकरर् विसर्गस्,[[तस्य लोपः (1.3.9)]]
भूतभावोद्भवकर उ विसर्गस्,[[हशि च (6.1.114)]]
भूतभावोद्भवकरो विसर्गस्,[[आद्गुणः (6.1.87)]]
विसर्गस् कर्मसंज्ञितस्,-
विसर्गरुँ कर्मसंज्ञितस्,[[ससजुषो रुः (8.2.66)]]
विसर्गर् कर्मसंज्ञितस्,[[तस्य लोपः (1.3.9)]]
विसर्गः कर्मसंज्ञितस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
विसर्गः कर्मसंज्ञितस्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
कर्मसंज्ञितस्,-
कर्मसंज्ञितरुँ,[[ससजुषो रुः (8.2.66)]]
कर्मसंज्ञितर्,[[तस्य लोपः (1.3.9)]]
कर्मसंज्ञितः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
