स्थिति,सूत्र
एतैस् विमुक्तस्,-
एतैरुँ विमुक्तस्,[[ससजुषो रुः (8.2.66)]]
एतैर् विमुक्तस्,[[तस्य लोपः (1.3.9)]]
विमुक्तस् कौन्तेय,-
विमुक्तरुँ कौन्तेय,[[ससजुषो रुः (8.2.66)]]
विमुक्तर् कौन्तेय,[[तस्य लोपः (1.3.9)]]
विमुक्तः कौन्तेय,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
विमुक्तः कौन्तेय,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
कौन्तेय तमोद्वारैस्,-
तमोद्वारैस् त्रिभिस्,-
तमोद्वारैरुँ त्रिभिस्,[[ससजुषो रुः (8.2.66)]]
तमोद्वारैर् त्रिभिस्,[[तस्य लोपः (1.3.9)]]
तमोद्वारैः त्रिभिस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
तमोद्वारैस् त्रिभिस्,[[विसर्जनीयस्य सः (8.3.34)]]
त्रिभिस् नरस्,-
त्रिभिरुँ नरस्,[[ससजुषो रुः (8.2.66)]]
त्रिभिर् नरस्,[[तस्य लोपः (1.3.9)]]
नरस्,-
नररुँ,[[ससजुषो रुः (8.2.66)]]
नरर्,[[तस्य लोपः (1.3.9)]]
नरः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
आचरति आत्मनस्,-
आचरत्यात्मनस्,[[इको यणचि (6.1.77)]]
आचरत्यात्मनस् श्रेयस्,-
आचरत्यात्मनरुँ श्रेयस्,[[ससजुषो रुः (8.2.66)]]
आचरत्यात्मनर् श्रेयस्,[[तस्य लोपः (1.3.9)]]
आचरत्यात्मनः श्रेयस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
आचरत्यात्मनः श्रेयस्,[[वा शरि (8.3.36)]]
श्रेयस् ततस्,-
श्रेयरुँ ततस्,[[ससजुषो रुः (8.2.66)]]
श्रेयर् ततस्,[[तस्य लोपः (1.3.9)]]
श्रेयः ततस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
श्रेयस् ततस्,[[विसर्जनीयस्य सः (8.3.34)]]
ततस् याति,-
ततरुँ याति,[[ससजुषो रुः (8.2.66)]]
ततर् याति,[[तस्य लोपः (1.3.9)]]
तत उ याति,[[हशि च (6.1.114)]]
ततो याति,[[आद्गुणः (6.1.87)]]
याति पराम्,-
पराम् गतिम्,-
परां गतिम्,[[मोऽनुस्वारः (8.3.23)]]
गतिम्,-
