स्थिति,सूत्र
लेलिह्यसे ग्रसमानस्,-
ग्रसमानस् समन्तात्,-
ग्रसमानरुँ समन्तात्,[[ससजुषो रुः (8.2.66)]]
ग्रसमानर् समन्तात्,[[तस्य लोपः (1.3.9)]]
ग्रसमानः समन्तात्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
ग्रसमानः समन्तात्,[[वा शरि (8.3.36)]]
समन्तात् लोकान्,-
समन्ताद् लोकान्,[[झलां जशोऽन्ते (8.2.39)]]
समन्ताल् लोकान्,[[तोर्लि (8.4.60)]]
लोकान् समग्रान्,-
समग्रान् वदनैस्,-
वदनैस् ज्वलद्भिस्,-
वदनैरुँ ज्वलद्भिस्,[[ससजुषो रुः (8.2.66)]]
वदनैर् ज्वलद्भिस्,[[तस्य लोपः (1.3.9)]]
ज्वलद्भिस्,-
ज्वलद्भिरुँ,[[ससजुषो रुः (8.2.66)]]
ज्वलद्भिर्,[[तस्य लोपः (1.3.9)]]
ज्वलद्भिः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
तेजोभिस् आपूर्य,-
तेजोभिरुँ आपूर्य,[[ससजुषो रुः (8.2.66)]]
तेजोभिर् आपूर्य,[[तस्य लोपः (1.3.9)]]
आपूर्य जगत्,-
जगत् समग्रम्,-
जगद् समग्रम्,[[झलां जशोऽन्ते (8.2.39)]]
जगत् समग्रम्,[[खरि च (8.4.55)]]
समग्रम् भासस्,-
समग्रं भासस्,[[मोऽनुस्वारः (8.3.23)]]
भासस् तव,-
भासरुँ तव,[[ससजुषो रुः (8.2.66)]]
भासर् तव,[[तस्य लोपः (1.3.9)]]
भासः तव,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
भासस् तव,[[विसर्जनीयस्य सः (8.3.34)]]
तव उग्रास्,-
तवोग्रास्,[[आद्गुणः (6.1.87)]]
तवोग्रास् प्रतपन्ति,-
तवोग्रारुँ प्रतपन्ति,[[ससजुषो रुः (8.2.66)]]
तवोग्रार् प्रतपन्ति,[[तस्य लोपः (1.3.9)]]
तवोग्राः प्रतपन्ति,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
तवोग्राः प्रतपन्ति,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
प्रतपन्ति विष्णो,-
विष्णो,-
