स्थिति,सूत्र
अत्र शूरास्,-
शूरास् महेष्वासास्,-
शूरारुँ महेष्वासास्,[[ससजुषो रुः (8.2.66)]]
शूरार् महेष्वासास्,[[तस्य लोपः (1.3.9)]]
शूराय् महेष्वासास्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
शूरा महेष्वासास्,[[हलि सर्वेषाम् (8.3.22)]]
महेष्वासास् भीमार्जुनसमास्,-
महेष्वासारुँ भीमार्जुनसमास्,[[ससजुषो रुः (8.2.66)]]
महेष्वासार् भीमार्जुनसमास्,[[तस्य लोपः (1.3.9)]]
महेष्वासाय् भीमार्जुनसमास्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
महेष्वासा भीमार्जुनसमास्,[[हलि सर्वेषाम् (8.3.22)]]
भीमार्जुनसमास् युधि,-
भीमार्जुनसमारुँ युधि,[[ससजुषो रुः (8.2.66)]]
भीमार्जुनसमार् युधि,[[तस्य लोपः (1.3.9)]]
भीमार्जुनसमाय् युधि,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
भीमार्जुनसमा युधि,[[हलि सर्वेषाम् (8.3.22)]]
युधि,-
युयुधानस् विराटस्,-
युयुधानरुँ विराटस्,[[ससजुषो रुः (8.2.66)]]
युयुधानर् विराटस्,[[तस्य लोपः (1.3.9)]]
युयुधान उ विराटस्,[[हशि च (6.1.114)]]
युयुधानो विराटस्,[[आद्गुणः (6.1.87)]]
विराटस् च,-
विराटरुँ च,[[ससजुषो रुः (8.2.66)]]
विराटर् च,[[तस्य लोपः (1.3.9)]]
विराटः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
विराटस् च,[[विसर्जनीयस्य सः (8.3.34)]]
विराटश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च द्रुपदस्,-
द्रुपदस् च,-
द्रुपदरुँ च,[[ससजुषो रुः (8.2.66)]]
द्रुपदर् च,[[तस्य लोपः (1.3.9)]]
द्रुपदः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
द्रुपदस् च,[[विसर्जनीयस्य सः (8.3.34)]]
द्रुपदश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च महारथस्,-
महारथस्,-
महारथरुँ,[[ससजुषो रुः (8.2.66)]]
महारथर्,[[तस्य लोपः (1.3.9)]]
महारथः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
