स्थिति,सूत्र
तुल्यनिन्दास्तुतिस् मौनी,-
तुल्यनिन्दास्तुतिरुँ मौनी,[[ससजुषो रुः (8.2.66)]]
तुल्यनिन्दास्तुतिर् मौनी,[[तस्य लोपः (1.3.9)]]
मौनी सन्तुष्टस्,-
सन्तुष्टस् येन,-
सन्तुष्टरुँ येन,[[ससजुषो रुः (8.2.66)]]
सन्तुष्टर् येन,[[तस्य लोपः (1.3.9)]]
सन्तुष्ट उ येन,[[हशि च (6.1.114)]]
सन्तुष्टो येन,[[आद्गुणः (6.1.87)]]
येन केनचित्,-
केनचित्,-
केनचिद्,[[झलां जशोऽन्ते (8.2.39)]]
केनचित्,[[वाऽवसाने (8.4.56)]]
अनिकेतस् स्थिरमतिस्,-
अनिकेतरुँ स्थिरमतिस्,[[ससजुषो रुः (8.2.66)]]
अनिकेतर् स्थिरमतिस्,[[तस्य लोपः (1.3.9)]]
अनिकेतः स्थिरमतिस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
अनिकेतः स्थिरमतिस्,[[वा शरि (8.3.36)]]
स्थिरमतिस् भक्तिमान्,-
स्थिरमतिरुँ भक्तिमान्,[[ससजुषो रुः (8.2.66)]]
स्थिरमतिर् भक्तिमान्,[[तस्य लोपः (1.3.9)]]
भक्तिमान् मे,-
मे प्रियस्,-
प्रियस् नरस्,-
प्रियरुँ नरस्,[[ससजुषो रुः (8.2.66)]]
प्रियर् नरस्,[[तस्य लोपः (1.3.9)]]
प्रिय उ नरस्,[[हशि च (6.1.114)]]
प्रियो नरस्,[[आद्गुणः (6.1.87)]]
नरस्,-
नररुँ,[[ससजुषो रुः (8.2.66)]]
नरर्,[[तस्य लोपः (1.3.9)]]
नरः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
