स्थिति,सूत्र
यतस् यतस्,-
यतरुँ यतस्,[[ससजुषो रुः (8.2.66)]]
यतर् यतस्,[[तस्य लोपः (1.3.9)]]
यत उ यतस्,[[हशि च (6.1.114)]]
यतो यतस्,[[आद्गुणः (6.1.87)]]
यतस् निश्चरति,-
यतरुँ निश्चरति,[[ससजुषो रुः (8.2.66)]]
यतर् निश्चरति,[[तस्य लोपः (1.3.9)]]
यत उ निश्चरति,[[हशि च (6.1.114)]]
यतो निश्चरति,[[आद्गुणः (6.1.87)]]
निश्चरति मनस्,-
मनस् चञ्चलम्,-
मनरुँ चञ्चलम्,[[ससजुषो रुः (8.2.66)]]
मनर् चञ्चलम्,[[तस्य लोपः (1.3.9)]]
मनः चञ्चलम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
मनस् चञ्चलम्,[[विसर्जनीयस्य सः (8.3.34)]]
मनश् चञ्चलम्,[[स्तोः श्चुना श्चुः (8.4.40)]]
चञ्चलम् अस्थिरम्,-
अस्थिरम्,-
ततस् ततस्,-
ततरुँ ततस्,[[ससजुषो रुः (8.2.66)]]
ततर् ततस्,[[तस्य लोपः (1.3.9)]]
ततः ततस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
ततस् ततस्,[[विसर्जनीयस्य सः (8.3.34)]]
ततस् नियम्य,-
ततरुँ नियम्य,[[ससजुषो रुः (8.2.66)]]
ततर् नियम्य,[[तस्य लोपः (1.3.9)]]
तत उ नियम्य,[[हशि च (6.1.114)]]
ततो नियम्य,[[आद्गुणः (6.1.87)]]
नियम्य एतत्,-
नियम्यैतत्,[[वृद्धिरेचि (6.1.88)]]
नियम्यैतत् आत्मनि,-
नियम्यैतद् आत्मनि,[[झलां जशोऽन्ते (8.2.39)]]
आत्मनि एव,-
आत्मन्येव,[[इको यणचि (6.1.77)]]
आत्मन्येव वशम्,-
वशम् नयेत्,-
वशं नयेत्,[[मोऽनुस्वारः (8.3.23)]]
नयेत्,-
नयेद्,[[झलां जशोऽन्ते (8.2.39)]]
नयेत्,[[वाऽवसाने (8.4.56)]]
