स्थिति,सूत्र
द्यावापृथिव्योस् इदम्,-
द्यावापृथिव्योरुँ इदम्,[[ससजुषो रुः (8.2.66)]]
द्यावापृथिव्योर् इदम्,[[तस्य लोपः (1.3.9)]]
इदम् अन्तरम्,-
अन्तरम् हि,-
अन्तरं हि,[[मोऽनुस्वारः (8.3.23)]]
हि व्याप्तम्,-
व्याप्तम् त्वया,-
व्याप्तं त्वया,[[मोऽनुस्वारः (8.3.23)]]
त्वया एकेन,-
त्वयैकेन,[[वृद्धिरेचि (6.1.88)]]
त्वयैकेन दिशस्,-
दिशस् च,-
दिशरुँ च,[[ससजुषो रुः (8.2.66)]]
दिशर् च,[[तस्य लोपः (1.3.9)]]
दिशः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
दिशस् च,[[विसर्जनीयस्य सः (8.3.34)]]
दिशश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च सर्वास्,-
सर्वास्,-
सर्वारुँ,[[ससजुषो रुः (8.2.66)]]
सर्वार्,[[तस्य लोपः (1.3.9)]]
सर्वाः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
दृष्ट्वा अद्भुतम्,-
दृष्ट्वाद्भुतम्,[[अकः सवर्णे दीर्घः (6.1.101)]]
दृष्ट्वाद्भुतम् रूपम्,-
दृष्ट्वाद्भुतं रूपम्,[[मोऽनुस्वारः (8.3.23)]]
रूपम् उग्रम्,-
उग्रम् तव,-
उग्रं तव,[[मोऽनुस्वारः (8.3.23)]]
तव इदम्,-
तवेदम्,[[आद्गुणः (6.1.87)]]
तवेदम् लोकत्रयम्,-
तवेदं लोकत्रयम्,[[मोऽनुस्वारः (8.3.23)]]
लोकत्रयम् प्रव्यथितम्,-
लोकत्रयं प्रव्यथितम्,[[मोऽनुस्वारः (8.3.23)]]
प्रव्यथितम् महात्मन्,-
प्रव्यथितं महात्मन्,[[मोऽनुस्वारः (8.3.23)]]
महात्मन्,-
