स्थिति,सूत्र
शुक्लकृष्णे गती,-
गती हि,-
हि एते,-
ह्येते,[[इको यणचि (6.1.77)]]
ह्येते जगतस्,-
जगतस् शाश्वते,-
जगतरुँ शाश्वते,[[ससजुषो रुः (8.2.66)]]
जगतर् शाश्वते,[[तस्य लोपः (1.3.9)]]
जगतः शाश्वते,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
जगतः शाश्वते,[[वा शरि (8.3.36)]]
शाश्वते मते,-
मते,-
एकया याति,-
याति अनावृत्तिम्,-
यात्यनावृत्तिम्,[[इको यणचि (6.1.77)]]
यात्यनावृत्तिम् अन्यया,-
अन्यया आवर्तते,-
अन्ययावर्तते,[[अकः सवर्णे दीर्घः (6.1.101)]]
अन्ययावर्तते पुनर्,-
पुनर्,-
पुनः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
