स्थिति,सूत्र
ये मे,-
मे मतम्,-
मतम् इदम्,-
इदम् नित्यम्,-
इदं नित्यम्,[[मोऽनुस्वारः (8.3.23)]]
नित्यम् अनुतिष्ठन्ति,-
अनुतिष्ठन्ति मानवास्,-
मानवास्,-
मानवारुँ,[[ससजुषो रुः (8.2.66)]]
मानवार्,[[तस्य लोपः (1.3.9)]]
मानवाः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
श्रद्धावन्तस् अनसूयन्तस्,-
श्रद्धावन्तरुँ अनसूयन्तस्,[[ससजुषो रुः (8.2.66)]]
श्रद्धावन्तर् अनसूयन्तस्,[[तस्य लोपः (1.3.9)]]
श्रद्धावन्त उ अनसूयन्तस्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
श्रद्धावन्तो अनसूयन्तस्,[[आद्गुणः (6.1.87)]]
श्रद्धावन्तोऽनसूयन्तस्,[[एङः पदान्तादति (6.1.109)]]
श्रद्धावन्तोऽनसूयन्तस् मुच्यन्ते,-
श्रद्धावन्तोऽनसूयन्तरुँ मुच्यन्ते,[[ससजुषो रुः (8.2.66)]]
श्रद्धावन्तोऽनसूयन्तर् मुच्यन्ते,[[तस्य लोपः (1.3.9)]]
श्रद्धावन्तोऽनसूयन्त उ मुच्यन्ते,[[हशि च (6.1.114)]]
श्रद्धावन्तोऽनसूयन्तो मुच्यन्ते,[[आद्गुणः (6.1.87)]]
मुच्यन्ते ते,-
ते अपि,-
तेऽपि,[[एङः पदान्तादति (6.1.109)]]
तेऽपि कर्मभिस्,-
कर्मभिस्,-
कर्मभिरुँ,[[ससजुषो रुः (8.2.66)]]
कर्मभिर्,[[तस्य लोपः (1.3.9)]]
कर्मभिः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
