स्थिति,सूत्र
सर्वद्वारेषु देहे,-
देहे अस्मिन्,-
देहेऽस्मिन्,[[एङः पदान्तादति (6.1.109)]]
देहेऽस्मिन् प्रकाशस्,-
प्रकाशस् उपजायते,-
प्रकाशरुँ उपजायते,[[ससजुषो रुः (8.2.66)]]
प्रकाशर् उपजायते,[[तस्य लोपः (1.3.9)]]
प्रकाशय् उपजायते,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
प्रकाश उपजायते,[[लोपः शाकल्यस्य (8.3.19)]]
उपजायते,-
ज्ञानम् यदा,-
ज्ञानं यदा,[[मोऽनुस्वारः (8.3.23)]]
यदा तदा,-
तदा विद्यात्,-
विद्यात् विवृद्धम्,-
विद्याद् विवृद्धम्,[[झलां जशोऽन्ते (8.2.39)]]
विवृद्धम् सत्त्वम्,-
विवृद्धं सत्त्वम्,[[मोऽनुस्वारः (8.3.23)]]
सत्त्वम् इति,-
इति उत,-
इत्युत,[[इको यणचि (6.1.77)]]
इत्युत,-
