स्थिति,सूत्र
कथम् भीष्मम्,-
कथं भीष्मम्,[[मोऽनुस्वारः (8.3.23)]]
भीष्मम् अहम्,-
अहम् सङ्ख्ये,-
अहं सङ्ख्ये,[[मोऽनुस्वारः (8.3.23)]]
सङ्ख्ये द्रोणम्,-
द्रोणम् च,-
द्रोणं च,[[मोऽनुस्वारः (8.3.23)]]
च मधुसूदन,-
मधुसूदन,-
इषुभिस् प्रतियोत्स्यामि,-
इषुभिरुँ प्रतियोत्स्यामि,[[ससजुषो रुः (8.2.66)]]
इषुभिर् प्रतियोत्स्यामि,[[तस्य लोपः (1.3.9)]]
इषुभिः प्रतियोत्स्यामि,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
इषुभिः प्रतियोत्स्यामि,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
प्रतियोत्स्यामि पूजार्हौ,-
पूजार्हौ अरिसूदन,-
पूजार्हाव् अरिसूदन,[[एचोऽयवायावः (6.1.78)]]
पूजार्हा अरिसूदन,[[लोपः शाकल्यस्य (8.3.19)]]
अरिसूदन,-
