स्थिति,सूत्र
आसुरीम् योनिम्,-
आसुरीं योनिम्,[[मोऽनुस्वारः (8.3.23)]]
योनिम् आपन्नास्,-
आपन्नास् मूढास्,-
आपन्नारुँ मूढास्,[[ससजुषो रुः (8.2.66)]]
आपन्नार् मूढास्,[[तस्य लोपः (1.3.9)]]
आपन्नाय् मूढास्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
आपन्ना मूढास्,[[हलि सर्वेषाम् (8.3.22)]]
मूढास् जन्मनि,-
मूढारुँ जन्मनि,[[ससजुषो रुः (8.2.66)]]
मूढार् जन्मनि,[[तस्य लोपः (1.3.9)]]
मूढाय् जन्मनि,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
मूढा जन्मनि,[[हलि सर्वेषाम् (8.3.22)]]
जन्मनि जन्मनि,-
जन्मनि,-
माम् अप्राप्य,-
अप्राप्य एव,-
अप्राप्यैव,[[वृद्धिरेचि (6.1.88)]]
अप्राप्यैव कौन्तेय,-
कौन्तेय ततस्,-
ततस् यान्ति,-
ततरुँ यान्ति,[[ससजुषो रुः (8.2.66)]]
ततर् यान्ति,[[तस्य लोपः (1.3.9)]]
तत उ यान्ति,[[हशि च (6.1.114)]]
ततो यान्ति,[[आद्गुणः (6.1.87)]]
यान्ति अधमाम्,-
यान्त्यधमाम्,[[इको यणचि (6.1.77)]]
यान्त्यधमाम् गतिम्,-
यान्त्यधमां गतिम्,[[मोऽनुस्वारः (8.3.23)]]
गतिम्,-
