स्थिति,सूत्र
धृष्टकेतुस् चेकितानस्,-
धृष्टकेतुरुँ चेकितानस्,[[ससजुषो रुः (8.2.66)]]
धृष्टकेतुर् चेकितानस्,[[तस्य लोपः (1.3.9)]]
धृष्टकेतुः चेकितानस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
धृष्टकेतुस् चेकितानस्,[[विसर्जनीयस्य सः (8.3.34)]]
धृष्टकेतुश् चेकितानस्,[[स्तोः श्चुना श्चुः (8.4.40)]]
चेकितानस् काशिराजस्,-
चेकितानरुँ काशिराजस्,[[ससजुषो रुः (8.2.66)]]
चेकितानर् काशिराजस्,[[तस्य लोपः (1.3.9)]]
चेकितानः काशिराजस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
चेकितानः काशिराजस्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
काशिराजस् च,-
काशिराजरुँ च,[[ससजुषो रुः (8.2.66)]]
काशिराजर् च,[[तस्य लोपः (1.3.9)]]
काशिराजः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
काशिराजस् च,[[विसर्जनीयस्य सः (8.3.34)]]
काशिराजश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च वीर्यवान्,-
वीर्यवान्,-
पुरुजित् कुन्तिभोजस्,-
पुरुजिद् कुन्तिभोजस्,[[झलां_जशोऽन्ते (8.2.39)]]
पुरुजित् कुन्तिभोजस्,[[खरि च (8.4.55)]]
कुन्तिभोजस् च,-
कुन्तिभोजरुँ च,[[ससजुषो रुः (8.2.66)]]
कुन्तिभोजर् च,[[तस्य लोपः (1.3.9)]]
कुन्तिभोजः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
कुन्तिभोजस् च,[[विसर्जनीयस्य सः (8.3.34)]]
कुन्तिभोजश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च शैब्यस्,-
शैब्यस् च,-
शैब्यरुँ च,[[ससजुषो रुः (8.2.66)]]
शैब्यर् च,[[तस्य लोपः (1.3.9)]]
शैब्यः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
शैब्यस् च,[[विसर्जनीयस्य सः (8.3.34)]]
शैब्यश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च नरपुङ्गवस्,-
नरपुङ्गवस्,-
नरपुङ्गवरुँ,[[ससजुषो रुः (8.2.66)]]
नरपुङ्गवर्,[[तस्य लोपः (1.3.9)]]
नरपुङ्गवः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
