स्थिति,सूत्र
अपि चेत्,-
चेत् सुदुराचारस्,-
चेद् सुदुराचारस्,[[झलां जशोऽन्ते (8.2.39)]]
चेत् सुदुराचारस्,[[खरि च (8.4.55)]]
सुदुराचारस् भजते,-
सुदुराचाररुँ भजते,[[ससजुषो रुः (8.2.66)]]
सुदुराचारर् भजते,[[तस्य लोपः (1.3.9)]]
सुदुराचार उ भजते,[[हशि च (6.1.114)]]
सुदुराचारो भजते,[[आद्गुणः (6.1.87)]]
भजते माम्,-
माम् अनन्यभाक्,-
अनन्यभाक्,-
अनन्यभाग्,[[झलां जशोऽन्ते (8.2.39)]]
अनन्यभाक्,[[वाऽवसाने (8.4.56)]]
साधुस् एव,-
साधुरुँ एव,[[ससजुषो रुः (8.2.66)]]
साधुर् एव,[[तस्य लोपः (1.3.9)]]
एव सस्,-
सस् मन्तव्यस्,-
स मन्तव्यस्,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
मन्तव्यस् सम्यक्,-
मन्तव्यरुँ सम्यक्,[[ससजुषो रुः (8.2.66)]]
मन्तव्यर् सम्यक्,[[तस्य लोपः (1.3.9)]]
मन्तव्यः सम्यक्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
मन्तव्यः सम्यक्,[[वा शरि (8.3.36)]]
सम्यक् व्यवसितस्,-
सम्यग् व्यवसितस्,[[झलां जशोऽन्ते (8.2.39)]]
व्यवसितस् हि,-
व्यवसितरुँ हि,[[ससजुषो रुः (8.2.66)]]
व्यवसितर् हि,[[तस्य लोपः (1.3.9)]]
व्यवसित उ हि,[[हशि च (6.1.114)]]
व्यवसितो हि,[[आद्गुणः (6.1.87)]]
हि सस्,-
सस्,-
सरुँ,[[ससजुषो रुः (8.2.66)]]
सर्,[[तस्य लोपः (1.3.9)]]
सः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
