स्थिति,सूत्र
आचार्यास् पितरस्,-
आचार्यारुँ पितरस्,[[ससजुषो रुः (8.2.66)]]
आचार्यार् पितरस्,[[तस्य लोपः (1.3.9)]]
आचार्याः पितरस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
आचार्याः पितरस्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
पितरस् पुत्रास्,-
पितररुँ पुत्रास्,[[ससजुषो रुः (8.2.66)]]
पितरर् पुत्रास्,[[तस्य लोपः (1.3.9)]]
पितरः पुत्रास्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
पितरः पुत्रास्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
पुत्रास् तथा,-
पुत्रारुँ तथा,[[ससजुषो रुः (8.2.66)]]
पुत्रार् तथा,[[तस्य लोपः (1.3.9)]]
पुत्राः तथा,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
पुत्रास् तथा,[[विसर्जनीयस्य सः (8.3.34)]]
तथा एव,-
तथैव,[[वृद्धिरेचि (6.1.88)]]
तथैव च,-
च पितामहास्,-
पितामहास्,-
पितामहारुँ,[[ससजुषो रुः (8.2.66)]]
पितामहार्,[[तस्य लोपः (1.3.9)]]
पितामहाः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
मातुलास् श्वशुरास्,-
मातुलारुँ श्वशुरास्,[[ससजुषो रुः (8.2.66)]]
मातुलार् श्वशुरास्,[[तस्य लोपः (1.3.9)]]
मातुलाः श्वशुरास्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
मातुलाः श्वशुरास्,[[वा शरि (8.3.36)]]
श्वशुरास् पौत्रास्,-
श्वशुरारुँ पौत्रास्,[[ससजुषो रुः (8.2.66)]]
श्वशुरार् पौत्रास्,[[तस्य लोपः (1.3.9)]]
श्वशुराः पौत्रास्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
श्वशुराः पौत्रास्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
पौत्रास् श्यालास्,-
पौत्रारुँ श्यालास्,[[ससजुषो रुः (8.2.66)]]
पौत्रार् श्यालास्,[[तस्य लोपः (1.3.9)]]
पौत्राः श्यालास्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
पौत्राः श्यालास्,[[वा शरि (8.3.36)]]
श्यालास् सम्बन्धिनस्,-
श्यालारुँ सम्बन्धिनस्,[[ससजुषो रुः (8.2.66)]]
श्यालार् सम्बन्धिनस्,[[तस्य लोपः (1.3.9)]]
श्यालाः सम्बन्धिनस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
श्यालाः सम्बन्धिनस्,[[वा शरि (8.3.36)]]
सम्बन्धिनस् तथा,-
सम्बन्धिनरुँ तथा,[[ससजुषो रुः (8.2.66)]]
सम्बन्धिनर् तथा,[[तस्य लोपः (1.3.9)]]
सम्बन्धिनः तथा,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
सम्बन्धिनस् तथा,[[विसर्जनीयस्य सः (8.3.34)]]
तथा,-
