स्थिति,सूत्र
अहिंसा सत्यम्,-
सत्यम् अक्रोधस्,-
अक्रोधस् त्यागस्,-
अक्रोधरुँ त्यागस्,[[ससजुषो रुः (8.2.66)]]
अक्रोधर् त्यागस्,[[तस्य लोपः (1.3.9)]]
अक्रोधः त्यागस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
अक्रोधस् त्यागस्,[[विसर्जनीयस्य सः (8.3.34)]]
त्यागस् शान्तिस्,-
त्यागरुँ शान्तिस्,[[ससजुषो रुः (8.2.66)]]
त्यागर् शान्तिस्,[[तस्य लोपः (1.3.9)]]
त्यागः शान्तिस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
त्यागः शान्तिस्,[[वा शरि (8.3.36)]]
शान्तिस् अपैशुनम्,-
शान्तिरुँ अपैशुनम्,[[ससजुषो रुः (8.2.66)]]
शान्तिर् अपैशुनम्,[[तस्य लोपः (1.3.9)]]
अपैशुनम्,-
दया भूतेषु,-
भूतेषु अलोलुप्त्वम्,-
भूतेष्वलोलुप्त्वम्,[[इको यणचि (6.1.77)]]
भूतेष्वलोलुप्त्वम् मार्दवम्,-
भूतेष्वलोलुप्त्वं मार्दवम्,[[मोऽनुस्वारः (8.3.23)]]
मार्दवम् ह्रीस्,-
मार्दवं ह्रीस्,[[मोऽनुस्वारः (8.3.23)]]
ह्रीस् अचापलम्,-
ह्रीरुँ अचापलम्,[[ससजुषो रुः (8.2.66)]]
ह्रीर् अचापलम्,[[तस्य लोपः (1.3.9)]]
अचापलम्,-
