स्थिति,सूत्र
मम योनिस्,-
योनिस् महत्,-
योनिरुँ महत्,[[ससजुषो रुः (8.2.66)]]
योनिर् महत्,[[तस्य लोपः (1.3.9)]]
महत् ब्रह्म,-
महद् ब्रह्म,[[झलां जशोऽन्ते (8.2.39)]]
ब्रह्म तस्मिन्,-
तस्मिन् गर्भम्,-
गर्भम् दधामि,-
गर्भं दधामि,[[मोऽनुस्वारः (8.3.23)]]
दधामि अहम्,-
दधाम्यहम्,[[इको यणचि (6.1.77)]]
दधाम्यहम्,-
सम्भवस् सर्वभूतानाम्,-
सम्भवरुँ सर्वभूतानाम्,[[ससजुषो रुः (8.2.66)]]
सम्भवर् सर्वभूतानाम्,[[तस्य लोपः (1.3.9)]]
सम्भवः सर्वभूतानाम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
सम्भवः सर्वभूतानाम्,[[वा शरि (8.3.36)]]
सर्वभूतानाम् ततस्,-
सर्वभूतानां ततस्,[[मोऽनुस्वारः (8.3.23)]]
ततस् भवति,-
ततरुँ भवति,[[ससजुषो रुः (8.2.66)]]
ततर् भवति,[[तस्य लोपः (1.3.9)]]
तत उ भवति,[[हशि च (6.1.114)]]
ततो भवति,[[आद्गुणः (6.1.87)]]
भवति भारत,-
भारत,-
