स्थिति,सूत्र
देही नित्यम्,-
नित्यम् अवध्यस्,-
अवध्यस् अयम्,-
अवध्यरुँ अयम्,[[ससजुषो रुः (8.2.66)]]
अवध्यर् अयम्,[[तस्य लोपः (1.3.9)]]
अवध्य उ अयम्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
अवध्यो अयम्,[[आद्गुणः (6.1.87)]]
अवध्योऽयम्,[[एङः पदान्तादति (6.1.109)]]
अवध्योऽयम् देहे,-
अवध्योऽयं देहे,[[मोऽनुस्वारः (8.3.23)]]
देहे सर्वस्य,-
सर्वस्य भारत,-
भारत,-
तस्मात् सर्वाणि,-
तस्माद् सर्वाणि,[[झलां_जशोऽन्ते (8.2.39)]]
तस्मात् सर्वाणि,[[खरि च (8.4.55)]]
सर्वाणि भूतानि,-
भूतानि न,-
न त्वम्,-
त्वम् शोचितुम्,-
त्वं शोचितुम्,[[मोऽनुस्वारः (8.3.23)]]
शोचितुम् अर्हसि,-
अर्हसि,-
