स्थिति,सूत्र
अध्यात्मज्ञाननित्यत्वम् तत्त्वज्ञानार्थदर्शनम्,-
अध्यात्मज्ञाननित्यत्वं तत्त्वज्ञानार्थदर्शनम्,[[मोऽनुस्वारः (8.3.23)]]
तत्त्वज्ञानार्थदर्शनम्,-
एतत् ज्ञानम्,-
एतद् ज्ञानम्,[[झलां जशोऽन्ते (8.2.39)]]
एतज् ज्ञानम्,[[स्तोः श्चुना श्चुः (8.4.40)]]
ज्ञानम् इति,-
इति प्रोक्तम्,-
प्रोक्तम् अज्ञानम्,-
अज्ञानम् यत्,-
अज्ञानं यत्,[[मोऽनुस्वारः (8.3.23)]]
यत् अतस्,-
यद् अतस्,[[झलां जशोऽन्ते (8.2.39)]]
अतस् अन्यथा,-
अतरुँ अन्यथा,[[ससजुषो रुः (8.2.66)]]
अतर् अन्यथा,[[तस्य लोपः (1.3.9)]]
अत उ अन्यथा,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
अतो अन्यथा,[[आद्गुणः (6.1.87)]]
अतोऽन्यथा,[[एङः पदान्तादति (6.1.109)]]
अतोऽन्यथा,-
