स्थिति,सूत्र
अहिंसा समता,-
समता तुष्टिस्,-
तुष्टिस् तपस्,-
तुष्टिरुँ तपस्,[[ससजुषो रुः (8.2.66)]]
तुष्टिर् तपस्,[[तस्य लोपः (1.3.9)]]
तुष्टिः तपस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
तुष्टिस् तपस्,[[विसर्जनीयस्य सः (8.3.34)]]
तपस् दानम्,-
तपरुँ दानम्,[[ससजुषो रुः (8.2.66)]]
तपर् दानम्,[[तस्य लोपः (1.3.9)]]
तप उ दानम्,[[हशि च (6.1.114)]]
तपो दानम्,[[आद्गुणः (6.1.87)]]
दानम् यशस्,-
दानं यशस्,[[मोऽनुस्वारः (8.3.23)]]
यशस् अयशस्,-
यशरुँ अयशस्,[[ससजुषो रुः (8.2.66)]]
यशर् अयशस्,[[तस्य लोपः (1.3.9)]]
यश उ अयशस्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
यशो अयशस्,[[आद्गुणः (6.1.87)]]
यशोऽयशस्,[[एङः पदान्तादति (6.1.109)]]
यशोऽयशस्,-
यशोऽयशरुँ,[[ससजुषो रुः (8.2.66)]]
यशोऽयशर्,[[तस्य लोपः (1.3.9)]]
यशोऽयशः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
भवन्ति भावास्,-
भावास् भूतानाम्,-
भावारुँ भूतानाम्,[[ससजुषो रुः (8.2.66)]]
भावार् भूतानाम्,[[तस्य लोपः (1.3.9)]]
भावाय् भूतानाम्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
भावा भूतानाम्,[[हलि सर्वेषाम् (8.3.22)]]
भूतानाम् मत्तस्,-
भूतानां मत्तस्,[[मोऽनुस्वारः (8.3.23)]]
मत्तस् एव,-
मत्तरुँ एव,[[ससजुषो रुः (8.2.66)]]
मत्तर् एव,[[तस्य लोपः (1.3.9)]]
मत्तय् एव,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
मत्त एव,[[लोपः शाकल्यस्य (8.3.19)]]
एव पृथग्विधास्,-
पृथग्विधास्,-
पृथग्विधारुँ,[[ससजुषो रुः (8.2.66)]]
पृथग्विधार्,[[तस्य लोपः (1.3.9)]]
पृथग्विधाः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
