स्थिति,सूत्र
त्वम् अक्षरम्,-
अक्षरम् परमम्,-
अक्षरं परमम्,[[मोऽनुस्वारः (8.3.23)]]
परमम् वेदितव्यम्,-
परमं वेदितव्यम्,[[मोऽनुस्वारः (8.3.23)]]
वेदितव्यम् त्वम्,-
वेदितव्यं त्वम्,[[मोऽनुस्वारः (8.3.23)]]
त्वम् अस्य,-
अस्य विश्वस्य,-
विश्वस्य परम्,-
परम् निधानम्,-
परं निधानम्,[[मोऽनुस्वारः (8.3.23)]]
निधानम्,-
त्वम् अव्ययस्,-
अव्ययस् शाश्वतधर्मगोप्ता,-
अव्ययरुँ शाश्वतधर्मगोप्ता,[[ससजुषो रुः (8.2.66)]]
अव्ययर् शाश्वतधर्मगोप्ता,[[तस्य लोपः (1.3.9)]]
अव्ययः शाश्वतधर्मगोप्ता,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
अव्ययः शाश्वतधर्मगोप्ता,[[वा शरि (8.3.36)]]
शाश्वतधर्मगोप्ता सनातनस्,-
सनातनस् त्वम्,-
सनातनरुँ त्वम्,[[ससजुषो रुः (8.2.66)]]
सनातनर् त्वम्,[[तस्य लोपः (1.3.9)]]
सनातनः त्वम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
सनातनस् त्वम्,[[विसर्जनीयस्य सः (8.3.34)]]
त्वम् पुरुषस्,-
त्वं पुरुषस्,[[मोऽनुस्वारः (8.3.23)]]
पुरुषस् मतस्,-
पुरुषरुँ मतस्,[[ससजुषो रुः (8.2.66)]]
पुरुषर् मतस्,[[तस्य लोपः (1.3.9)]]
पुरुष उ मतस्,[[हशि च (6.1.114)]]
पुरुषो मतस्,[[आद्गुणः (6.1.87)]]
मतस् मे,-
मतरुँ मे,[[ससजुषो रुः (8.2.66)]]
मतर् मे,[[तस्य लोपः (1.3.9)]]
मत उ मे,[[हशि च (6.1.114)]]
मतो मे,[[आद्गुणः (6.1.87)]]
मे,-
