स्थिति,सूत्र
उदारास् सर्वे,-
उदारारुँ सर्वे,[[ससजुषो रुः (8.2.66)]]
उदारार् सर्वे,[[तस्य लोपः (1.3.9)]]
उदाराः सर्वे,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
उदाराः सर्वे,[[वा शरि (8.3.36)]]
सर्वे एव,-
सर्वय् एव,[[एचोऽयवायावः (6.1.78)]]
सर्व एव,[[लोपः शाकल्यस्य (8.3.19)]]
एव एते,-
एवैते,[[वृद्धिरेचि (6.1.88)]]
एवैते ज्ञानी,-
ज्ञानी तु,-
तु आत्मा,-
त्वात्मा,[[इको यणचि (6.1.77)]]
त्वात्मा एव,-
त्वात्मैव,[[वृद्धिरेचि (6.1.88)]]
त्वात्मैव मे,-
मे मतम्,-
मतम्,-
आस्थितस् सस्,-
आस्थितरुँ सस्,[[ससजुषो रुः (8.2.66)]]
आस्थितर् सस्,[[तस्य लोपः (1.3.9)]]
आस्थितः सस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
आस्थितः सस्,[[वा शरि (8.3.36)]]
सस् हि,-
स हि,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
हि युक्तात्मा,-
युक्तात्मा माम्,-
माम् एव,-
एव अनुत्तमाम्,-
एवानुत्तमाम्,[[अकः सवर्णे दीर्घः (6.1.101)]]
एवानुत्तमाम् गतिम्,-
एवानुत्तमां गतिम्,[[मोऽनुस्वारः (8.3.23)]]
गतिम्,-
