स्थिति,सूत्र
न च,-
च तस्मात्,-
तस्मात् मनुष्येषु,-
तस्माद् मनुष्येषु,[[झलां जशोऽन्ते (8.2.39)]]
तस्मान् मनुष्येषु,[[यरोऽनुनासिकेऽनुनासिको वा (8.4.45)]]
मनुष्येषु कश्चित्,-
कश्चित् मे,-
कश्चिद् मे,[[झलां जशोऽन्ते (8.2.39)]]
कश्चिन् मे,[[यरोऽनुनासिकेऽनुनासिको वा (8.4.45)]]
मे प्रियकृत्तमस्,-
प्रियकृत्तमस्,-
प्रियकृत्तमरुँ,[[ससजुषो रुः (8.2.66)]]
प्रियकृत्तमर्,[[तस्य लोपः (1.3.9)]]
प्रियकृत्तमः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
भविता न,-
न च,-
च मे,-
मे तस्मात्,-
तस्मात् अन्यस्,-
तस्माद् अन्यस्,[[झलां जशोऽन्ते (8.2.39)]]
अन्यस् प्रियतरस्,-
अन्यरुँ प्रियतरस्,[[ससजुषो रुः (8.2.66)]]
अन्यर् प्रियतरस्,[[तस्य लोपः (1.3.9)]]
अन्यः प्रियतरस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
अन्यः प्रियतरस्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
प्रियतरस् भुवि,-
प्रियतररुँ भुवि,[[ससजुषो रुः (8.2.66)]]
प्रियतरर् भुवि,[[तस्य लोपः (1.3.9)]]
प्रियतर उ भुवि,[[हशि च (6.1.114)]]
प्रियतरो भुवि,[[आद्गुणः (6.1.87)]]
भुवि,-
