स्थिति,सूत्र
मूढग्राहेण आत्मनस्,-
मूढग्राहेणात्मनस्,[[अकः सवर्णे दीर्घः (6.1.101)]]
मूढग्राहेणात्मनस् यत्,-
मूढग्राहेणात्मनरुँ यत्,[[ससजुषो रुः (8.2.66)]]
मूढग्राहेणात्मनर् यत्,[[तस्य लोपः (1.3.9)]]
मूढग्राहेणात्मन उ यत्,[[हशि च (6.1.114)]]
मूढग्राहेणात्मनो यत्,[[आद्गुणः (6.1.87)]]
यत् पीडया,-
यद् पीडया,[[झलां जशोऽन्ते (8.2.39)]]
यत् पीडया,[[खरि च (8.4.55)]]
पीडया क्रियते,-
क्रियते तपस्,-
तपस्,-
तपरुँ,[[ससजुषो रुः (8.2.66)]]
तपर्,[[तस्य लोपः (1.3.9)]]
तपः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
परस्य उत्सादनार्थम्,-
परस्योत्सादनार्थम्,[[आद्गुणः (6.1.87)]]
परस्योत्सादनार्थम् वा,-
परस्योत्सादनार्थं वा,[[मोऽनुस्वारः (8.3.23)]]
वा तत्,-
तत् तामसम्,-
तद् तामसम्,[[झलां जशोऽन्ते (8.2.39)]]
तत् तामसम्,[[खरि च (8.4.55)]]
तामसम् उदाहृतम्,-
उदाहृतम्,-
