स्थिति,सूत्र
सत्त्वम् रजस्,-
सत्त्वं रजस्,[[मोऽनुस्वारः (8.3.23)]]
रजस् तमस्,-
रजरुँ तमस्,[[ससजुषो रुः (8.2.66)]]
रजर् तमस्,[[तस्य लोपः (1.3.9)]]
रजः तमस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
रजस् तमस्,[[विसर्जनीयस्य सः (8.3.34)]]
तमस् इति,-
तमरुँ इति,[[ससजुषो रुः (8.2.66)]]
तमर् इति,[[तस्य लोपः (1.3.9)]]
तमय् इति,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
तम इति,[[लोपः शाकल्यस्य (8.3.19)]]
इति गुणास्,-
गुणास् प्रकृतिसम्भवास्,-
गुणारुँ प्रकृतिसम्भवास्,[[ससजुषो रुः (8.2.66)]]
गुणार् प्रकृतिसम्भवास्,[[तस्य लोपः (1.3.9)]]
गुणाः प्रकृतिसम्भवास्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
गुणाः प्रकृतिसम्भवास्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
प्रकृतिसम्भवास्,-
प्रकृतिसम्भवारुँ,[[ससजुषो रुः (8.2.66)]]
प्रकृतिसम्भवार्,[[तस्य लोपः (1.3.9)]]
प्रकृतिसम्भवाः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
निबध्नन्ति महाबाहो,-
महाबाहो देहे,-
देहे देहिनम्,-
देहिनम् अव्ययम्,-
अव्ययम्,-
