स्थिति,सूत्र
पिता असि,-
पितासि,[[अकः सवर्णे दीर्घः (6.1.101)]]
पितासि लोकस्य,-
लोकस्य चराचरस्य,-
चराचरस्य त्वम्,-
त्वम् अस्य,-
अस्य पूज्यस्,-
पूज्यस् च,-
पूज्यरुँ च,[[ससजुषो रुः (8.2.66)]]
पूज्यर् च,[[तस्य लोपः (1.3.9)]]
पूज्यः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
पूज्यस् च,[[विसर्जनीयस्य सः (8.3.34)]]
पूज्यश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च गुरुस्,-
गुरुस् गरीयान्,-
गुरुरुँ गरीयान्,[[ससजुषो रुः (8.2.66)]]
गुरुर् गरीयान्,[[तस्य लोपः (1.3.9)]]
गरीयान्,-
न त्वत्,-
त्वत् समस्,-
त्वद् समस्,[[झलां जशोऽन्ते (8.2.39)]]
त्वत् समस्,[[खरि च (8.4.55)]]
समस् अस्ति,-
समरुँ अस्ति,[[ससजुषो रुः (8.2.66)]]
समर् अस्ति,[[तस्य लोपः (1.3.9)]]
सम उ अस्ति,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
समो अस्ति,[[आद्गुणः (6.1.87)]]
समोऽस्ति,[[एङः पदान्तादति (6.1.109)]]
समोऽस्ति अभ्यधिकस्,-
समोऽस्त्यभ्यधिकस्,[[इको यणचि (6.1.77)]]
समोऽस्त्यभ्यधिकस् कुतस्,-
समोऽस्त्यभ्यधिकरुँ कुतस्,[[ससजुषो रुः (8.2.66)]]
समोऽस्त्यभ्यधिकर् कुतस्,[[तस्य लोपः (1.3.9)]]
समोऽस्त्यभ्यधिकः कुतस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
समोऽस्त्यभ्यधिकः कुतस्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
कुतस् अन्यस्,-
कुतरुँ अन्यस्,[[ससजुषो रुः (8.2.66)]]
कुतर् अन्यस्,[[तस्य लोपः (1.3.9)]]
कुत उ अन्यस्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
कुतो अन्यस्,[[आद्गुणः (6.1.87)]]
कुतोऽन्यस्,[[एङः पदान्तादति (6.1.109)]]
कुतोऽन्यस् लोकत्रये,-
कुतोऽन्यरुँ लोकत्रये,[[ससजुषो रुः (8.2.66)]]
कुतोऽन्यर् लोकत्रये,[[तस्य लोपः (1.3.9)]]
कुतोऽन्य उ लोकत्रये,[[हशि च (6.1.114)]]
कुतोऽन्यो लोकत्रये,[[आद्गुणः (6.1.87)]]
लोकत्रये अपि,-
लोकत्रयेऽपि,[[एङः पदान्तादति (6.1.109)]]
लोकत्रयेऽपि अप्रतिमप्रभाव,-
लोकत्रयेऽप्यप्रतिमप्रभाव,[[इको यणचि (6.1.77)]]
लोकत्रयेऽप्यप्रतिमप्रभाव,-
