स्थिति,सूत्र
यस्मात् न,-
यस्माद् न,[[झलां जशोऽन्ते (8.2.39)]]
यस्मान् न,[[यरोऽनुनासिकेऽनुनासिको वा (8.4.45)]]
न उद्विजते,-
नोद्विजते,[[आद्गुणः (6.1.87)]]
नोद्विजते लोकस्,-
लोकस् लोकात्,-
लोकरुँ लोकात्,[[ससजुषो रुः (8.2.66)]]
लोकर् लोकात्,[[तस्य लोपः (1.3.9)]]
लोक उ लोकात्,[[हशि च (6.1.114)]]
लोको लोकात्,[[आद्गुणः (6.1.87)]]
लोकात् न,-
लोकाद् न,[[झलां जशोऽन्ते (8.2.39)]]
लोकान् न,[[यरोऽनुनासिकेऽनुनासिको वा (8.4.45)]]
न उद्विजते,-
नोद्विजते,[[आद्गुणः (6.1.87)]]
नोद्विजते च,-
च यस्,-
यस्,-
यरुँ,[[ससजुषो रुः (8.2.66)]]
यर्,[[तस्य लोपः (1.3.9)]]
यः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
हर्षामर्षभयोद्वेगैस् मुक्तस्,-
हर्षामर्षभयोद्वेगैरुँ मुक्तस्,[[ससजुषो रुः (8.2.66)]]
हर्षामर्षभयोद्वेगैर् मुक्तस्,[[तस्य लोपः (1.3.9)]]
मुक्तस् यस्,-
मुक्तरुँ यस्,[[ससजुषो रुः (8.2.66)]]
मुक्तर् यस्,[[तस्य लोपः (1.3.9)]]
मुक्त उ यस्,[[हशि च (6.1.114)]]
मुक्तो यस्,[[आद्गुणः (6.1.87)]]
यस् सस्,-
यरुँ सस्,[[ससजुषो रुः (8.2.66)]]
यर् सस्,[[तस्य लोपः (1.3.9)]]
यः सस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
यः सस्,[[वा शरि (8.3.36)]]
सस् च,-
स च,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
च मे,-
मे प्रियस्,-
प्रियस्,-
प्रियरुँ,[[ससजुषो रुः (8.2.66)]]
प्रियर्,[[तस्य लोपः (1.3.9)]]
प्रियः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
