स्थिति,सूत्र
तत्र एवम्,-
तत्रैवम्,[[वृद्धिरेचि (6.1.88)]]
तत्रैवम् सति,-
तत्रैवं सति,[[मोऽनुस्वारः (8.3.23)]]
सति कर्तारम्,-
कर्तारम् आत्मानम्,-
आत्मानम् केवलम्,-
आत्मानं केवलम्,[[मोऽनुस्वारः (8.3.23)]]
केवलम् तु,-
केवलं तु,[[मोऽनुस्वारः (8.3.23)]]
तु यस्,-
यस्,-
यरुँ,[[ससजुषो रुः (8.2.66)]]
यर्,[[तस्य लोपः (1.3.9)]]
यः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
पश्यति अकृतबुद्धित्वात्,-
पश्यत्यकृतबुद्धित्वात्,[[इको यणचि (6.1.77)]]
पश्यत्यकृतबुद्धित्वात् न,-
पश्यत्यकृतबुद्धित्वाद् न,[[झलां जशोऽन्ते (8.2.39)]]
पश्यत्यकृतबुद्धित्वान् न,[[यरोऽनुनासिकेऽनुनासिको वा (8.4.45)]]
न सस्,-
सस् पश्यति,-
स पश्यति,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
पश्यति दुर्मतिस्,-
दुर्मतिस्,-
दुर्मतिरुँ,[[ससजुषो रुः (8.2.66)]]
दुर्मतिर्,[[तस्य लोपः (1.3.9)]]
दुर्मतिः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
