स्थिति,सूत्र
तत्त्ववित् तु,-
तत्त्वविद् तु,[[झलां जशोऽन्ते (8.2.39)]]
तत्त्ववित् तु,[[खरि च (8.4.55)]]
तु महाबाहो,-
महाबाहो गुणकर्मविभागयोस्,-
गुणकर्मविभागयोस्,-
गुणकर्मविभागयोरुँ,[[ससजुषो रुः (8.2.66)]]
गुणकर्मविभागयोर्,[[तस्य लोपः (1.3.9)]]
गुणकर्मविभागयोः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
गुणास् गुणेषु,-
गुणारुँ गुणेषु,[[ससजुषो रुः (8.2.66)]]
गुणार् गुणेषु,[[तस्य लोपः (1.3.9)]]
गुणाय् गुणेषु,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
गुणा गुणेषु,[[हलि सर्वेषाम् (8.3.22)]]
गुणेषु वर्तन्ते,-
वर्तन्ते इति,-
वर्तन्तय् इति,[[एचोऽयवायावः (6.1.78)]]
वर्तन्त इति,[[लोपः शाकल्यस्य (8.3.19)]]
इति मत्वा,-
मत्वा न,-
न सज्जते,-
सज्जते,-
