स्थिति,सूत्र
न द्वेष्टि,-
द्वेष्टि अकुशलम्,-
द्वेष्ट्यकुशलम्,[[इको यणचि (6.1.77)]]
द्वेष्ट्यकुशलम् कर्म,-
द्वेष्ट्यकुशलं कर्म,[[मोऽनुस्वारः (8.3.23)]]
कर्म कुशले,-
कुशले न,-
न अनुषज्जते,-
नानुषज्जते,[[अकः सवर्णे दीर्घः (6.1.101)]]
नानुषज्जते,-
त्यागी सत्त्वसमाविष्टस्,-
सत्त्वसमाविष्टस् मेधावी,-
सत्त्वसमाविष्टरुँ मेधावी,[[ससजुषो रुः (8.2.66)]]
सत्त्वसमाविष्टर् मेधावी,[[तस्य लोपः (1.3.9)]]
सत्त्वसमाविष्ट उ मेधावी,[[हशि च (6.1.114)]]
सत्त्वसमाविष्टो मेधावी,[[आद्गुणः (6.1.87)]]
मेधावी छिन्नसंशयस्,-
छिन्नसंशयस्,-
छिन्नसंशयरुँ,[[ससजुषो रुः (8.2.66)]]
छिन्नसंशयर्,[[तस्य लोपः (1.3.9)]]
छिन्नसंशयः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
