स्थिति,सूत्र
अव्यक्तस् अक्षरस्,-
अव्यक्तरुँ अक्षरस्,[[ससजुषो रुः (8.2.66)]]
अव्यक्तर् अक्षरस्,[[तस्य लोपः (1.3.9)]]
अव्यक्त उ अक्षरस्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
अव्यक्तो अक्षरस्,[[आद्गुणः (6.1.87)]]
अव्यक्तोऽक्षरस्,[[एङः पदान्तादति (6.1.109)]]
अव्यक्तोऽक्षरस् इति,-
अव्यक्तोऽक्षररुँ इति,[[ससजुषो रुः (8.2.66)]]
अव्यक्तोऽक्षरर् इति,[[तस्य लोपः (1.3.9)]]
अव्यक्तोऽक्षरय् इति,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
अव्यक्तोऽक्षर इति,[[लोपः शाकल्यस्य (8.3.19)]]
इति उक्तस्,-
इत्युक्तस्,[[इको यणचि (6.1.77)]]
इत्युक्तस् तम्,-
इत्युक्तरुँ तम्,[[ससजुषो रुः (8.2.66)]]
इत्युक्तर् तम्,[[तस्य लोपः (1.3.9)]]
इत्युक्तः तम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
इत्युक्तस् तम्,[[विसर्जनीयस्य सः (8.3.34)]]
तम् आहुस्,-
आहुस् परमाम्,-
आहुरुँ परमाम्,[[ससजुषो रुः (8.2.66)]]
आहुर् परमाम्,[[तस्य लोपः (1.3.9)]]
आहुः परमाम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
आहुः परमाम्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
परमाम् गतिम्,-
परमां गतिम्,[[मोऽनुस्वारः (8.3.23)]]
गतिम्,-
यम् प्राप्य,-
यं प्राप्य,[[मोऽनुस्वारः (8.3.23)]]
प्राप्य न,-
न निवर्तन्ते,-
निवर्तन्ते तत्,-
तत् धाम,-
तद् धाम,[[झलां जशोऽन्ते (8.2.39)]]
धाम परमम्,-
परमम् मम,-
परमं मम,[[मोऽनुस्वारः (8.3.23)]]
मम,-
