स्थिति,सूत्र
गाण्डीवम् स्रंसते,-
गाण्डीवं स्रंसते,[[मोऽनुस्वारः (8.3.23)]]
स्रंसते हस्तात्,-
हस्तात् त्वक्,-
हस्ताद् त्वक्,[[झलां_जशोऽन्ते (8.2.39)]]
हस्तात् त्वक्,[[खरि च (8.4.55)]]
त्वक् च,-
त्वग् च,[[झलां_जशोऽन्ते (8.2.39)]]
त्वक् च,[[खरि च (8.4.55)]]
च एव,-
चैव,[[वृद्धिरेचि (6.1.88)]]
चैव परिदह्यते,-
परिदह्यते,-
न च,-
च शक्नोमि,-
शक्नोमि अवस्थातुम्,-
शक्नोम्यवस्थातुम्,[[इको यणचि (6.1.77)]]
शक्नोम्यवस्थातुम् भ्रमति,-
शक्नोम्यवस्थातुं भ्रमति,[[मोऽनुस्वारः (8.3.23)]]
भ्रमति इव,-
भ्रमतीव,[[अकः सवर्णे दीर्घः (6.1.101)]]
भ्रमतीव च,-
च मे,-
मे मनस्,-
मनस्,-
मनरुँ,[[ससजुषो रुः (8.2.66)]]
मनर्,[[तस्य लोपः (1.3.9)]]
मनः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
