स्थिति,सूत्र
मत् चित्तास्,-
मद् चित्तास्,[[झलां जशोऽन्ते (8.2.39)]]
मज् चित्तास्,[[स्तोः श्चुना श्चुः (8.4.40)]]
मच् चित्तास्,[[खरि च (8.4.55)]]
चित्तास् मत्,-
चित्तारुँ मत्,[[ससजुषो रुः (8.2.66)]]
चित्तार् मत्,[[तस्य लोपः (1.3.9)]]
चित्ताय् मत्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
चित्ता मत्,[[हलि सर्वेषाम् (8.3.22)]]
मत् गतप्राणास्,-
मद् गतप्राणास्,[[झलां जशोऽन्ते (8.2.39)]]
गतप्राणास् बोधयन्तस्,-
गतप्राणारुँ बोधयन्तस्,[[ससजुषो रुः (8.2.66)]]
गतप्राणार् बोधयन्तस्,[[तस्य लोपः (1.3.9)]]
गतप्राणाय् बोधयन्तस्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
गतप्राणा बोधयन्तस्,[[हलि सर्वेषाम् (8.3.22)]]
बोधयन्तस् परस्परम्,-
बोधयन्तरुँ परस्परम्,[[ससजुषो रुः (8.2.66)]]
बोधयन्तर् परस्परम्,[[तस्य लोपः (1.3.9)]]
बोधयन्तः परस्परम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
बोधयन्तः परस्परम्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
परस्परम्,-
कथयन्तस् च,-
कथयन्तरुँ च,[[ससजुषो रुः (8.2.66)]]
कथयन्तर् च,[[तस्य लोपः (1.3.9)]]
कथयन्तः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
कथयन्तस् च,[[विसर्जनीयस्य सः (8.3.34)]]
कथयन्तश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च माम्,-
माम् नित्यम्,-
मां नित्यम्,[[मोऽनुस्वारः (8.3.23)]]
नित्यम् तुष्यन्ति,-
नित्यं तुष्यन्ति,[[मोऽनुस्वारः (8.3.23)]]
तुष्यन्ति च,-
च रमन्ति,-
रमन्ति च,-
च,-
