स्थिति,सूत्र
जरामरणमोक्षाय माम्,-
माम् आश्रित्य,-
आश्रित्य यतन्ति,-
यतन्ति ये,-
ये,-
ते ब्रह्म,-
ब्रह्म तत्,-
तत् विदुस्,-
तद् विदुस्,[[झलां जशोऽन्ते (8.2.39)]]
विदुस् कृत्स्नम्,-
विदुरुँ कृत्स्नम्,[[ससजुषो रुः (8.2.66)]]
विदुर् कृत्स्नम्,[[तस्य लोपः (1.3.9)]]
विदुः कृत्स्नम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
विदुः कृत्स्नम्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
कृत्स्नम् अध्यात्मम्,-
अध्यात्मम् कर्म,-
अध्यात्मं कर्म,[[मोऽनुस्वारः (8.3.23)]]
कर्म च,-
च अखिलम्,-
चाखिलम्,[[अकः सवर्णे दीर्घः (6.1.101)]]
चाखिलम्,-
