स्थिति,सूत्र
यदृच्छया च,-
च उपपन्नम्,-
चोपपन्नम्,[[आद्गुणः (6.1.87)]]
चोपपन्नम् स्वर्गद्वारम्,-
चोपपन्नं स्वर्गद्वारम्,[[मोऽनुस्वारः (8.3.23)]]
स्वर्गद्वारम् अपावृतम्,-
अपावृतम्,-
सुखिनस् क्षत्रियास्,-
सुखिनरुँ क्षत्रियास्,[[ससजुषो रुः (8.2.66)]]
सुखिनर् क्षत्रियास्,[[तस्य लोपः (1.3.9)]]
सुखिनः क्षत्रियास्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
सुखिनः क्षत्रियास्,[[शर्परे विसर्जनीयः (8.3.35)]]
क्षत्रियास् पार्थ,-
क्षत्रियारुँ पार्थ,[[ससजुषो रुः (8.2.66)]]
क्षत्रियार् पार्थ,[[तस्य लोपः (1.3.9)]]
क्षत्रियाः पार्थ,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
क्षत्रियाः पार्थ,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
पार्थ लभन्ते,-
लभन्ते युद्धम्,-
युद्धम् ईदृशम्,-
ईदृशम्,-
