स्थिति,सूत्र
अन्तकाले च,-
च माम्,-
माम् एव,-
एव स्मरन्,-
स्मरन् मुक्त्वा,-
मुक्त्वा कलेवरम्,-
कलेवरम्,-
यस् प्रयाति,-
यरुँ प्रयाति,[[ससजुषो रुः (8.2.66)]]
यर् प्रयाति,[[तस्य लोपः (1.3.9)]]
यः प्रयाति,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
यः प्रयाति,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
प्रयाति सस्,-
सस् मत्,-
स मत्,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
मत् भावम्,-
मद् भावम्,[[झलां जशोऽन्ते (8.2.39)]]
भावम् याति,-
भावं याति,[[मोऽनुस्वारः (8.3.23)]]
याति न,-
न अस्ति,-
नास्ति,[[अकः सवर्णे दीर्घः (6.1.101)]]
नास्ति अत्र,-
नास्त्यत्र,[[इको यणचि (6.1.77)]]
नास्त्यत्र संशयस्,-
संशयस्,-
संशयरुँ,[[ससजुषो रुः (8.2.66)]]
संशयर्,[[तस्य लोपः (1.3.9)]]
संशयः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
