स्थिति,सूत्र
कर्मणि अकर्म,-
कर्मण्यकर्म,[[इको यणचि (6.1.77)]]
कर्मण्यकर्म यस्,-
यस् पश्येत्,-
यरुँ पश्येत्,[[ससजुषो रुः (8.2.66)]]
यर् पश्येत्,[[तस्य लोपः (1.3.9)]]
यः पश्येत्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
यः पश्येत्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
पश्येत् अकर्मणि,-
पश्येद् अकर्मणि,[[झलां जशोऽन्ते (8.2.39)]]
अकर्मणि च,-
च कर्म,-
कर्म यस्,-
यस्,-
यरुँ,[[ससजुषो रुः (8.2.66)]]
यर्,[[तस्य लोपः (1.3.9)]]
यः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
सस् बुद्धिमान्,-
स बुद्धिमान्,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
बुद्धिमान् मनुष्येषु,-
मनुष्येषु सस्,-
सस् युक्तस्,-
स युक्तस्,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
युक्तस् कृत्स्नकर्मकृत्,-
युक्तरुँ कृत्स्नकर्मकृत्,[[ससजुषो रुः (8.2.66)]]
युक्तर् कृत्स्नकर्मकृत्,[[तस्य लोपः (1.3.9)]]
युक्तः कृत्स्नकर्मकृत्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
युक्तः कृत्स्नकर्मकृत्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
कृत्स्नकर्मकृत्,-
कृत्स्नकर्मकृद्,[[झलां जशोऽन्ते (8.2.39)]]
कृत्स्नकर्मकृत्,[[वाऽवसाने (8.4.56)]]
