स्थिति,सूत्र
राजन् संस्मृत्य,-
संस्मृत्य संस्मृत्य,-
संस्मृत्य संवादम्,-
संवादम् इमम्,-
इमम् अद्भुतम्,-
अद्भुतम्,-
केशवार्जुनयोस् पुण्यम्,-
केशवार्जुनयोरुँ पुण्यम्,[[ससजुषो रुः (8.2.66)]]
केशवार्जुनयोर् पुण्यम्,[[तस्य लोपः (1.3.9)]]
केशवार्जुनयोः पुण्यम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
केशवार्जुनयोः पुण्यम्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
पुण्यम् हृष्यामि,-
पुण्यं हृष्यामि,[[मोऽनुस्वारः (8.3.23)]]
हृष्यामि च,-
च मुहुस्,-
मुहुस् मुहुस्,-
मुहुरुँ मुहुस्,[[ससजुषो रुः (8.2.66)]]
मुहुर् मुहुस्,[[तस्य लोपः (1.3.9)]]
मुहुस्,-
मुहुरुँ,[[ससजुषो रुः (8.2.66)]]
मुहुर्,[[तस्य लोपः (1.3.9)]]
मुहुः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
