स्थिति,सूत्र
अन्ये तु,-
तु एवम्,-
त्वेवम्,[[इको यणचि (6.1.77)]]
त्वेवम् अजानन्तस्,-
अजानन्तस् श्रुत्वा,-
अजानन्तरुँ श्रुत्वा,[[ससजुषो रुः (8.2.66)]]
अजानन्तर् श्रुत्वा,[[तस्य लोपः (1.3.9)]]
अजानन्तः श्रुत्वा,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
अजानन्तः श्रुत्वा,[[वा शरि (8.3.36)]]
श्रुत्वा अन्येभ्यस्,-
श्रुत्वान्येभ्यस्,[[अकः सवर्णे दीर्घः (6.1.101)]]
श्रुत्वान्येभ्यस् उपासते,-
श्रुत्वान्येभ्यरुँ उपासते,[[ससजुषो रुः (8.2.66)]]
श्रुत्वान्येभ्यर् उपासते,[[तस्य लोपः (1.3.9)]]
श्रुत्वान्येभ्यय् उपासते,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
श्रुत्वान्येभ्य उपासते,[[लोपः शाकल्यस्य (8.3.19)]]
उपासते,-
ते अपि,-
तेऽपि,[[एङः पदान्तादति (6.1.109)]]
तेऽपि च,-
च अतितरन्ति,-
चातितरन्ति,[[अकः सवर्णे दीर्घः (6.1.101)]]
चातितरन्ति एव,-
चातितरन्त्येव,[[इको यणचि (6.1.77)]]
चातितरन्त्येव मृत्युम्,-
मृत्युम् श्रुतिपरायणास्,-
मृत्युं श्रुतिपरायणास्,[[मोऽनुस्वारः (8.3.23)]]
श्रुतिपरायणास्,-
श्रुतिपरायणारुँ,[[ससजुषो रुः (8.2.66)]]
श्रुतिपरायणार्,[[तस्य लोपः (1.3.9)]]
श्रुतिपरायणाः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
