स्थिति,सूत्र
शुचौ देशे,-
देशे प्रतिष्ठाप्य,-
प्रतिष्ठाप्य स्थिरम्,-
स्थिरम् आसनम्,-
आसनम् आत्मनस्,-
आत्मनस्,-
आत्मनरुँ,[[ससजुषो रुः (8.2.66)]]
आत्मनर्,[[तस्य लोपः (1.3.9)]]
आत्मनः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
न अत्युच्छ्रितम्,-
नात्युच्छ्रितम्,[[अकः सवर्णे दीर्घः (6.1.101)]]
नात्युच्छ्रितम् न,-
नात्युच्छ्रितं न,[[मोऽनुस्वारः (8.3.23)]]
न अतिनीचम्,-
नातिनीचम्,[[अकः सवर्णे दीर्घः (6.1.101)]]
नातिनीचम् चैलाजिनकुशोत्तरम्,-
नातिनीचं चैलाजिनकुशोत्तरम्,[[मोऽनुस्वारः (8.3.23)]]
चैलाजिनकुशोत्तरम्,-
