स्थिति,सूत्र
न प्रहृष्येत्,-
प्रहृष्येत् प्रियम्,-
प्रहृष्येद् प्रियम्,[[झलां जशोऽन्ते (8.2.39)]]
प्रहृष्येत् प्रियम्,[[खरि च (8.4.55)]]
प्रियम् प्राप्य,-
प्रियं प्राप्य,[[मोऽनुस्वारः (8.3.23)]]
प्राप्य न,-
न उद्विजेत्,-
नोद्विजेत्,[[आद्गुणः (6.1.87)]]
नोद्विजेत् प्राप्य,-
नोद्विजेद् प्राप्य,[[झलां जशोऽन्ते (8.2.39)]]
नोद्विजेत् प्राप्य,[[खरि च (8.4.55)]]
प्राप्य च,-
च अप्रियम्,-
चाप्रियम्,[[अकः सवर्णे दीर्घः (6.1.101)]]
चाप्रियम्,-
स्थिरबुद्धिस् असम्मूढस्,-
स्थिरबुद्धिरुँ असम्मूढस्,[[ससजुषो रुः (8.2.66)]]
स्थिरबुद्धिर् असम्मूढस्,[[तस्य लोपः (1.3.9)]]
असम्मूढस् ब्रह्मवित्,-
असम्मूढरुँ ब्रह्मवित्,[[ससजुषो रुः (8.2.66)]]
असम्मूढर् ब्रह्मवित्,[[तस्य लोपः (1.3.9)]]
असम्मूढ उ ब्रह्मवित्,[[हशि च (6.1.114)]]
असम्मूढो ब्रह्मवित्,[[आद्गुणः (6.1.87)]]
ब्रह्मवित् ब्रह्मणि,-
ब्रह्मविद् ब्रह्मणि,[[झलां जशोऽन्ते (8.2.39)]]
ब्रह्मणि स्थितस्,-
स्थितस्,-
स्थितरुँ,[[ससजुषो रुः (8.2.66)]]
स्थितर्,[[तस्य लोपः (1.3.9)]]
स्थितः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
