स्थिति,सूत्र
अस्माकम् तु,-
अस्माकं तु,[[मोऽनुस्वारः (8.3.23)]]
तु विशिष्टास्,-
विशिष्टास् ये,-
विशिष्टारुँ ये,[[ससजुषो रुः (8.2.66)]]
विशिष्टार् ये,[[तस्य लोपः (1.3.9)]]
विशिष्टाय् ये,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
विशिष्टा ये,[[हलि सर्वेषाम् (8.3.22)]]
ये तान्,-
तान् निबोध,-
निबोध द्विजोत्तम,-
द्विजोत्तम,-
नायकास् मम,-
नायकारुँ मम,[[ससजुषो रुः (8.2.66)]]
नायकार् मम,[[तस्य लोपः (1.3.9)]]
नायकाय् मम,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
नायका मम,[[हलि सर्वेषाम् (8.3.22)]]
मम सैन्यस्य,-
सैन्यस्य संज्ञार्थम्,-
संज्ञार्थम् तान्,-
संज्ञार्थं तान्,[[मोऽनुस्वारः (8.3.23)]]
तान् ब्रवीमि,-
ब्रवीमि ते,-
ते,-
