स्थिति,सूत्र
न मे,-
मे विदुस्,-
विदुस् सुरगणास्,-
विदुरुँ सुरगणास्,[[ससजुषो रुः (8.2.66)]]
विदुर् सुरगणास्,[[तस्य लोपः (1.3.9)]]
विदुः सुरगणास्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
विदुः सुरगणास्,[[वा शरि (8.3.36)]]
सुरगणास् प्रभवम्,-
सुरगणारुँ प्रभवम्,[[ससजुषो रुः (8.2.66)]]
सुरगणार् प्रभवम्,[[तस्य लोपः (1.3.9)]]
सुरगणाः प्रभवम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
सुरगणाः प्रभवम्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
प्रभवम् न,-
प्रभवं न,[[मोऽनुस्वारः (8.3.23)]]
न महर्षयस्,-
महर्षयस्,-
महर्षयरुँ,[[ससजुषो रुः (8.2.66)]]
महर्षयर्,[[तस्य लोपः (1.3.9)]]
महर्षयः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
अहम् आदिस्,-
आदिस् हि,-
आदिरुँ हि,[[ससजुषो रुः (8.2.66)]]
आदिर् हि,[[तस्य लोपः (1.3.9)]]
हि देवानाम्,-
देवानाम् महर्षीणाम्,-
देवानां महर्षीणाम्,[[मोऽनुस्वारः (8.3.23)]]
महर्षीणाम् च,-
महर्षीणां च,[[मोऽनुस्वारः (8.3.23)]]
च सर्वशस्,-
सर्वशस्,-
सर्वशरुँ,[[ससजुषो रुः (8.2.66)]]
सर्वशर्,[[तस्य लोपः (1.3.9)]]
सर्वशः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
