स्थिति,सूत्र
यथा प्रदीप्तम्,-
प्रदीप्तम् ज्वलनम्,-
प्रदीप्तं ज्वलनम्,[[मोऽनुस्वारः (8.3.23)]]
ज्वलनम् पतङ्गास्,-
ज्वलनं पतङ्गास्,[[मोऽनुस्वारः (8.3.23)]]
पतङ्गास् विशन्ति,-
पतङ्गारुँ विशन्ति,[[ससजुषो रुः (8.2.66)]]
पतङ्गार् विशन्ति,[[तस्य लोपः (1.3.9)]]
पतङ्गाय् विशन्ति,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
पतङ्गा विशन्ति,[[हलि सर्वेषाम् (8.3.22)]]
विशन्ति नाशाय,-
नाशाय समृद्धवेगास्,-
समृद्धवेगास्,-
समृद्धवेगारुँ,[[ससजुषो रुः (8.2.66)]]
समृद्धवेगार्,[[तस्य लोपः (1.3.9)]]
समृद्धवेगाः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
तथा एव,-
तथैव,[[वृद्धिरेचि (6.1.88)]]
तथैव नाशाय,-
नाशाय विशन्ति,-
विशन्ति लोकास्,-
लोकास् तव,-
लोकारुँ तव,[[ससजुषो रुः (8.2.66)]]
लोकार् तव,[[तस्य लोपः (1.3.9)]]
लोकाः तव,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
लोकास् तव,[[विसर्जनीयस्य सः (8.3.34)]]
तव अपि,-
तवापि,[[अकः सवर्णे दीर्घः (6.1.101)]]
तवापि वक्त्राणि,-
वक्त्राणि समृद्धवेगास्,-
समृद्धवेगास्,-
समृद्धवेगारुँ,[[ससजुषो रुः (8.2.66)]]
समृद्धवेगार्,[[तस्य लोपः (1.3.9)]]
समृद्धवेगाः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
