स्थिति,सूत्र
सत्कारमानपूजार्थम् तपस्,-
सत्कारमानपूजार्थं तपस्,[[मोऽनुस्वारः (8.3.23)]]
तपस् दम्भेन,-
तपरुँ दम्भेन,[[ससजुषो रुः (8.2.66)]]
तपर् दम्भेन,[[तस्य लोपः (1.3.9)]]
तप उ दम्भेन,[[हशि च (6.1.114)]]
तपो दम्भेन,[[आद्गुणः (6.1.87)]]
दम्भेन च,-
च एव,-
चैव,[[वृद्धिरेचि (6.1.88)]]
चैव यत्,-
यत्,-
यद्,[[झलां जशोऽन्ते (8.2.39)]]
यत्,[[वाऽवसाने (8.4.56)]]
क्रियते तत्,-
तत् इह,-
तद् इह,[[झलां जशोऽन्ते (8.2.39)]]
इह प्रोक्तम्,-
प्रोक्तम् राजसम्,-
प्रोक्तं राजसम्,[[मोऽनुस्वारः (8.3.23)]]
राजसम् चलम्,-
राजसं चलम्,[[मोऽनुस्वारः (8.3.23)]]
चलम् अध्रुवम्,-
अध्रुवम्,-
