स्थिति,सूत्र
अमी च,-
च त्वाम्,-
त्वाम् धृतराष्ट्रस्य,-
त्वां धृतराष्ट्रस्य,[[मोऽनुस्वारः (8.3.23)]]
धृतराष्ट्रस्य पुत्रास्,-
पुत्रास् सर्वे,-
पुत्रारुँ सर्वे,[[ससजुषो रुः (8.2.66)]]
पुत्रार् सर्वे,[[तस्य लोपः (1.3.9)]]
पुत्राः सर्वे,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
पुत्राः सर्वे,[[वा शरि (8.3.36)]]
सर्वे सह,-
सह एव,-
सहैव,[[वृद्धिरेचि (6.1.88)]]
सहैव अवनिपालसङ्घैस्,-
सहैवावनिपालसङ्घैस्,[[अकः सवर्णे दीर्घः (6.1.101)]]
सहैवावनिपालसङ्घैस्,-
सहैवावनिपालसङ्घैरुँ,[[ससजुषो रुः (8.2.66)]]
सहैवावनिपालसङ्घैर्,[[तस्य लोपः (1.3.9)]]
सहैवावनिपालसङ्घैः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
भीष्मस् द्रोणस्,-
भीष्मरुँ द्रोणस्,[[ससजुषो रुः (8.2.66)]]
भीष्मर् द्रोणस्,[[तस्य लोपः (1.3.9)]]
भीष्म उ द्रोणस्,[[हशि च (6.1.114)]]
भीष्मो द्रोणस्,[[आद्गुणः (6.1.87)]]
द्रोणस् सूतपुत्रस्,-
द्रोणरुँ सूतपुत्रस्,[[ससजुषो रुः (8.2.66)]]
द्रोणर् सूतपुत्रस्,[[तस्य लोपः (1.3.9)]]
द्रोणः सूतपुत्रस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
द्रोणः सूतपुत्रस्,[[वा शरि (8.3.36)]]
सूतपुत्रस् तथा,-
सूतपुत्ररुँ तथा,[[ससजुषो रुः (8.2.66)]]
सूतपुत्रर् तथा,[[तस्य लोपः (1.3.9)]]
सूतपुत्रः तथा,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
सूतपुत्रस् तथा,[[विसर्जनीयस्य सः (8.3.34)]]
तथा असौ,-
तथासौ,[[अकः सवर्णे दीर्घः (6.1.101)]]
तथासौ सह,-
सह अस्मदीयैस्,-
सहास्मदीयैस्,[[अकः सवर्णे दीर्घः (6.1.101)]]
सहास्मदीयैस् अपि,-
सहास्मदीयैरुँ अपि,[[ससजुषो रुः (8.2.66)]]
सहास्मदीयैर् अपि,[[तस्य लोपः (1.3.9)]]
अपि योधमुख्यैस्,-
योधमुख्यैस्,-
योधमुख्यैरुँ,[[ससजुषो रुः (8.2.66)]]
योधमुख्यैर्,[[तस्य लोपः (1.3.9)]]
योधमुख्यैः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
