स्थिति,सूत्र
विविक्तसेवी लघ्वाशी,-
लघ्वाशी यतवाक्कायमानसस्,-
यतवाक्कायमानसस्,-
यतवाक्कायमानसरुँ,[[ससजुषो रुः (8.2.66)]]
यतवाक्कायमानसर्,[[तस्य लोपः (1.3.9)]]
यतवाक्कायमानसः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
ध्यानयोगपरस् नित्यम्,-
ध्यानयोगपररुँ नित्यम्,[[ससजुषो रुः (8.2.66)]]
ध्यानयोगपरर् नित्यम्,[[तस्य लोपः (1.3.9)]]
ध्यानयोगपर उ नित्यम्,[[हशि च (6.1.114)]]
ध्यानयोगपरो नित्यम्,[[आद्गुणः (6.1.87)]]
नित्यम् वैराग्यम्,-
नित्यं वैराग्यम्,[[मोऽनुस्वारः (8.3.23)]]
वैराग्यम् समुपाश्रितस्,-
वैराग्यं समुपाश्रितस्,[[मोऽनुस्वारः (8.3.23)]]
समुपाश्रितस्,-
समुपाश्रितरुँ,[[ससजुषो रुः (8.2.66)]]
समुपाश्रितर्,[[तस्य लोपः (1.3.9)]]
समुपाश्रितः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
