स्थिति,सूत्र
ये तु,-
तु धर्म्यामृतम्,-
धर्म्यामृतम् इदम्,-
इदम् यथा,-
इदं यथा,[[मोऽनुस्वारः (8.3.23)]]
यथा उक्तम्,-
यथोक्तम्,[[आद्गुणः (6.1.87)]]
यथोक्तम् पर्युपासते,-
यथोक्तं पर्युपासते,[[मोऽनुस्वारः (8.3.23)]]
पर्युपासते,-
श्रद्दधानास् मत्परमास्,-
श्रद्दधानारुँ मत्परमास्,[[ससजुषो रुः (8.2.66)]]
श्रद्दधानार् मत्परमास्,[[तस्य लोपः (1.3.9)]]
श्रद्दधानाय् मत्परमास्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
श्रद्दधाना मत्परमास्,[[हलि सर्वेषाम् (8.3.22)]]
मत्परमास् भक्तास्,-
मत्परमारुँ भक्तास्,[[ससजुषो रुः (8.2.66)]]
मत्परमार् भक्तास्,[[तस्य लोपः (1.3.9)]]
मत्परमाय् भक्तास्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
मत्परमा भक्तास्,[[हलि सर्वेषाम् (8.3.22)]]
भक्तास् ते,-
भक्तारुँ ते,[[ससजुषो रुः (8.2.66)]]
भक्तार् ते,[[तस्य लोपः (1.3.9)]]
भक्ताः ते,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
भक्तास् ते,[[विसर्जनीयस्य सः (8.3.34)]]
ते अतीव,-
तेऽतीव,[[एङः पदान्तादति (6.1.109)]]
तेऽतीव मे,-
मे प्रियास्,-
प्रियास्,-
प्रियारुँ,[[ससजुषो रुः (8.2.66)]]
प्रियार्,[[तस्य लोपः (1.3.9)]]
प्रियाः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
