स्थिति,सूत्र
कालस् अस्मि,-
कालरुँ अस्मि,[[ससजुषो रुः (8.2.66)]]
कालर् अस्मि,[[तस्य लोपः (1.3.9)]]
काल उ अस्मि,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
कालो अस्मि,[[आद्गुणः (6.1.87)]]
कालोऽस्मि,[[एङः पदान्तादति (6.1.109)]]
कालोऽस्मि लोकक्षयकृत्,-
लोकक्षयकृत् प्रवृद्धस्,-
लोकक्षयकृद् प्रवृद्धस्,[[झलां जशोऽन्ते (8.2.39)]]
लोकक्षयकृत् प्रवृद्धस्,[[खरि च (8.4.55)]]
प्रवृद्धस् लोकान्,-
प्रवृद्धरुँ लोकान्,[[ससजुषो रुः (8.2.66)]]
प्रवृद्धर् लोकान्,[[तस्य लोपः (1.3.9)]]
प्रवृद्ध उ लोकान्,[[हशि च (6.1.114)]]
प्रवृद्धो लोकान्,[[आद्गुणः (6.1.87)]]
लोकान् समाहर्तुम्,-
समाहर्तुम् इह,-
इह प्रवृत्तस्,-
प्रवृत्तस्,-
प्रवृत्तरुँ,[[ससजुषो रुः (8.2.66)]]
प्रवृत्तर्,[[तस्य लोपः (1.3.9)]]
प्रवृत्तः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
ऋते अपि,-
ऋतेऽपि,[[एङः पदान्तादति (6.1.109)]]
ऋतेऽपि त्वाम्,-
त्वाम् न,-
त्वां न,[[मोऽनुस्वारः (8.3.23)]]
न भविष्यन्ति,-
भविष्यन्ति सर्वे,-
सर्वे ये,-
ये अवस्थितास्,-
येऽवस्थितास्,[[एङः पदान्तादति (6.1.109)]]
येऽवस्थितास् प्रत्यनीकेषु,-
येऽवस्थितारुँ प्रत्यनीकेषु,[[ससजुषो रुः (8.2.66)]]
येऽवस्थितार् प्रत्यनीकेषु,[[तस्य लोपः (1.3.9)]]
येऽवस्थिताः प्रत्यनीकेषु,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
येऽवस्थिताः प्रत्यनीकेषु,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
प्रत्यनीकेषु योधास्,-
योधास्,-
योधारुँ,[[ससजुषो रुः (8.2.66)]]
योधार्,[[तस्य लोपः (1.3.9)]]
योधाः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
