स्थिति,सूत्र
शुभाशुभफलैस् एवम्,-
शुभाशुभफलैरुँ एवम्,[[ससजुषो रुः (8.2.66)]]
शुभाशुभफलैर् एवम्,[[तस्य लोपः (1.3.9)]]
एवम् मोक्ष्यसे,-
एवं मोक्ष्यसे,[[मोऽनुस्वारः (8.3.23)]]
मोक्ष्यसे कर्मबन्धनैस्,-
कर्मबन्धनैस्,-
कर्मबन्धनैरुँ,[[ससजुषो रुः (8.2.66)]]
कर्मबन्धनैर्,[[तस्य लोपः (1.3.9)]]
कर्मबन्धनैः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
संन्यासयोगयुक्तात्मा विमुक्तस्,-
विमुक्तस् माम्,-
विमुक्तरुँ माम्,[[ससजुषो रुः (8.2.66)]]
विमुक्तर् माम्,[[तस्य लोपः (1.3.9)]]
विमुक्त उ माम्,[[हशि च (6.1.114)]]
विमुक्तो माम्,[[आद्गुणः (6.1.87)]]
माम् उपैष्यसि,-
उपैष्यसि,-
