स्थिति,सूत्र
अव्यक्तस् अयम्,-
अव्यक्तरुँ अयम्,[[ससजुषो रुः (8.2.66)]]
अव्यक्तर् अयम्,[[तस्य लोपः (1.3.9)]]
अव्यक्त उ अयम्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
अव्यक्तो अयम्,[[आद्गुणः (6.1.87)]]
अव्यक्तोऽयम्,[[एङः पदान्तादति (6.1.109)]]
अव्यक्तोऽयम् अचिन्त्यस्,-
अचिन्त्यस् अयम्,-
अचिन्त्यरुँ अयम्,[[ससजुषो रुः (8.2.66)]]
अचिन्त्यर् अयम्,[[तस्य लोपः (1.3.9)]]
अचिन्त्य उ अयम्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
अचिन्त्यो अयम्,[[आद्गुणः (6.1.87)]]
अचिन्त्योऽयम्,[[एङः पदान्तादति (6.1.109)]]
अचिन्त्योऽयम् अविकार्यस्,-
अविकार्यस् अयम्,-
अविकार्यरुँ अयम्,[[ससजुषो रुः (8.2.66)]]
अविकार्यर् अयम्,[[तस्य लोपः (1.3.9)]]
अविकार्य उ अयम्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
अविकार्यो अयम्,[[आद्गुणः (6.1.87)]]
अविकार्योऽयम्,[[एङः पदान्तादति (6.1.109)]]
अविकार्योऽयम् उच्यते,-
उच्यते,-
तस्मात् एवम्,-
तस्माद् एवम्,[[झलां जशोऽन्ते (8.2.39)]]
एवम् विदित्वा,-
एवं विदित्वा,[[मोऽनुस्वारः (8.3.23)]]
विदित्वा एनम्,-
विदित्वैनम्,[[वृद्धिरेचि (6.1.88)]]
विदित्वैनम् न,-
विदित्वैनं न,[[मोऽनुस्वारः (8.3.23)]]
न अनुशोचितुम्,-
नानुशोचितुम्,[[अकः सवर्णे दीर्घः (6.1.101)]]
नानुशोचितुम् अर्हसि,-
अर्हसि,-
