स्थिति,सूत्र
सक्तास् कर्मणि,-
सक्तारुँ कर्मणि,[[ससजुषो रुः (8.2.66)]]
सक्तार् कर्मणि,[[तस्य लोपः (1.3.9)]]
सक्ताः कर्मणि,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
सक्ताः कर्मणि,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
कर्मणि अविद्वांसस्,-
कर्मण्यविद्वांसस्,[[इको यणचि (6.1.77)]]
कर्मण्यविद्वांसस् यथा,-
कर्मण्यविद्वांसरुँ यथा,[[ससजुषो रुः (8.2.66)]]
कर्मण्यविद्वांसर् यथा,[[तस्य लोपः (1.3.9)]]
कर्मण्यविद्वांस उ यथा,[[हशि च (6.1.114)]]
कर्मण्यविद्वांसो यथा,[[आद्गुणः (6.1.87)]]
यथा कुर्वन्ति,-
कुर्वन्ति भारत,-
भारत,-
कुर्यात् विद्वान्,-
कुर्याद् विद्वान्,[[झलां जशोऽन्ते (8.2.39)]]
विद्वान् तथा,-
विद्वांरुँ तथा,[[नश्छव्यप्रशान् (8.3.7)]]
विद्वांर् तथा,[[तस्य लोपः (1.3.9)]]
विद्वांः तथा,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
विद्वांस् तथा,[[विसर्जनीयस्य सः (8.3.34)]]
तथा असक्तस्,-
तथासक्तस्,[[अकः सवर्णे दीर्घः (6.1.101)]]
तथासक्तस् चिकीर्षुस्,-
तथासक्तरुँ चिकीर्षुस्,[[ससजुषो रुः (8.2.66)]]
तथासक्तर् चिकीर्षुस्,[[तस्य लोपः (1.3.9)]]
तथासक्तः चिकीर्षुस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
तथासक्तस् चिकीर्षुस्,[[विसर्जनीयस्य सः (8.3.34)]]
तथासक्तश् चिकीर्षुस्,[[स्तोः श्चुना श्चुः (8.4.40)]]
चिकीर्षुस् लोकसङ्ग्रहम्,-
चिकीर्षुरुँ लोकसङ्ग्रहम्,[[ससजुषो रुः (8.2.66)]]
चिकीर्षुर् लोकसङ्ग्रहम्,[[तस्य लोपः (1.3.9)]]
लोकसङ्ग्रहम्,-
