स्थिति,सूत्र
यथा प्रकाशयति,-
प्रकाशयति एकस्,-
प्रकाशयत्येकस्,[[इको यणचि (6.1.77)]]
प्रकाशयत्येकस् कृत्स्नम्,-
प्रकाशयत्येकरुँ कृत्स्नम्,[[ससजुषो रुः (8.2.66)]]
प्रकाशयत्येकर् कृत्स्नम्,[[तस्य लोपः (1.3.9)]]
प्रकाशयत्येकः कृत्स्नम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
प्रकाशयत्येकः कृत्स्नम्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
कृत्स्नम् लोकम्,-
कृत्स्नं लोकम्,[[मोऽनुस्वारः (8.3.23)]]
लोकम् इमम्,-
इमम् रविस्,-
इमं रविस्,[[मोऽनुस्वारः (8.3.23)]]
रविस्,-
रविरुँ,[[ससजुषो रुः (8.2.66)]]
रविर्,[[तस्य लोपः (1.3.9)]]
रविः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
क्षेत्रम् क्षेत्री,-
क्षेत्रं क्षेत्री,[[मोऽनुस्वारः (8.3.23)]]
क्षेत्री तथा,-
तथा कृत्स्नम्,-
कृत्स्नम् प्रकाशयति,-
कृत्स्नं प्रकाशयति,[[मोऽनुस्वारः (8.3.23)]]
प्रकाशयति भारत,-
भारत,-
