स्थिति,सूत्र
यदृच्छालाभसन्तुष्टस् द्वन्द्वातीतस्,-
यदृच्छालाभसन्तुष्टरुँ द्वन्द्वातीतस्,[[ससजुषो रुः (8.2.66)]]
यदृच्छालाभसन्तुष्टर् द्वन्द्वातीतस्,[[तस्य लोपः (1.3.9)]]
यदृच्छालाभसन्तुष्ट उ द्वन्द्वातीतस्,[[हशि च (6.1.114)]]
यदृच्छालाभसन्तुष्टो द्वन्द्वातीतस्,[[आद्गुणः (6.1.87)]]
द्वन्द्वातीतस् विमत्सरस्,-
द्वन्द्वातीतरुँ विमत्सरस्,[[ससजुषो रुः (8.2.66)]]
द्वन्द्वातीतर् विमत्सरस्,[[तस्य लोपः (1.3.9)]]
द्वन्द्वातीत उ विमत्सरस्,[[हशि च (6.1.114)]]
द्वन्द्वातीतो विमत्सरस्,[[आद्गुणः (6.1.87)]]
विमत्सरस्,-
विमत्सररुँ,[[ससजुषो रुः (8.2.66)]]
विमत्सरर्,[[तस्य लोपः (1.3.9)]]
विमत्सरः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
समस् सिद्धौ,-
समरुँ सिद्धौ,[[ससजुषो रुः (8.2.66)]]
समर् सिद्धौ,[[तस्य लोपः (1.3.9)]]
समः सिद्धौ,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
समः सिद्धौ,[[वा शरि (8.3.36)]]
सिद्धौ असिद्धौ,-
सिद्धाव् असिद्धौ,[[एचोऽयवायावः (6.1.78)]]
असिद्धौ च,-
च कृत्वा,-
कृत्वा अपि,-
कृत्वापि,[[अकः सवर्णे दीर्घः (6.1.101)]]
कृत्वापि न,-
न निबध्यते,-
निबध्यते,-
