स्थिति,सूत्र
सत्त्वानुरूपा सर्वस्य,-
सर्वस्य श्रद्धा,-
श्रद्धा भवति,-
भवति भारत,-
भारत,-
श्रद्धामयस् अयम्,-
श्रद्धामयरुँ अयम्,[[ससजुषो रुः (8.2.66)]]
श्रद्धामयर् अयम्,[[तस्य लोपः (1.3.9)]]
श्रद्धामय उ अयम्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
श्रद्धामयो अयम्,[[आद्गुणः (6.1.87)]]
श्रद्धामयोऽयम्,[[एङः पदान्तादति (6.1.109)]]
श्रद्धामयोऽयम् पुरुषस्,-
श्रद्धामयोऽयं पुरुषस्,[[मोऽनुस्वारः (8.3.23)]]
पुरुषस् यस्,-
पुरुषरुँ यस्,[[ससजुषो रुः (8.2.66)]]
पुरुषर् यस्,[[तस्य लोपः (1.3.9)]]
पुरुष उ यस्,[[हशि च (6.1.114)]]
पुरुषो यस्,[[आद्गुणः (6.1.87)]]
यस् यत्,-
यरुँ यत्,[[ससजुषो रुः (8.2.66)]]
यर् यत्,[[तस्य लोपः (1.3.9)]]
य उ यत्,[[हशि च (6.1.114)]]
यो यत्,[[आद्गुणः (6.1.87)]]
यत् श्रद्धस्,-
यद् श्रद्धस्,[[झलां जशोऽन्ते (8.2.39)]]
यज् श्रद्धस्,[[स्तोः श्चुना श्चुः (8.4.40)]]
यच् श्रद्धस्,[[खरि च (8.4.55)]]
यच्छ्रद्धस्,[[शशछोऽटि (8.4.63)]]
यच्छ्रद्धस् सस्,-
यच्छ्रद्धरुँ सस्,[[ससजुषो रुः (8.2.66)]]
यच्छ्रद्धर् सस्,[[तस्य लोपः (1.3.9)]]
यच्छ्रद्धः सस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
यच्छ्रद्धः सस्,[[वा शरि (8.3.36)]]
सस् एव,-
सरुँ एव,[[ससजुषो रुः (8.2.66)]]
सर् एव,[[तस्य लोपः (1.3.9)]]
सय् एव,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
स एव,[[लोपः शाकल्यस्य (8.3.19)]]
एव सस्,-
सस्,-
सरुँ,[[ससजुषो रुः (8.2.66)]]
सर्,[[तस्य लोपः (1.3.9)]]
सः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
