स्थिति,सूत्र
न अस्ति,-
नास्ति,[[अकः सवर्णे दीर्घः (6.1.101)]]
नास्ति बुद्धिस्,-
बुद्धिस् अयुक्तस्य,-
बुद्धिरुँ अयुक्तस्य,[[ससजुषो रुः (8.2.66)]]
बुद्धिर् अयुक्तस्य,[[तस्य लोपः (1.3.9)]]
अयुक्तस्य न,-
न च,-
च अयुक्तस्य,-
चायुक्तस्य,[[अकः सवर्णे दीर्घः (6.1.101)]]
चायुक्तस्य भावना,-
भावना,-
न च,-
च अभावयतस्,-
चाभावयतस्,[[अकः सवर्णे दीर्घः (6.1.101)]]
चाभावयतस् शान्तिस्,-
चाभावयतरुँ शान्तिस्,[[ससजुषो रुः (8.2.66)]]
चाभावयतर् शान्तिस्,[[तस्य लोपः (1.3.9)]]
चाभावयतः शान्तिस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
चाभावयतः शान्तिस्,[[वा शरि (8.3.36)]]
शान्तिस् अशान्तस्य,-
शान्तिरुँ अशान्तस्य,[[ससजुषो रुः (8.2.66)]]
शान्तिर् अशान्तस्य,[[तस्य लोपः (1.3.9)]]
अशान्तस्य कुतस्,-
कुतस् सुखम्,-
कुतरुँ सुखम्,[[ससजुषो रुः (8.2.66)]]
कुतर् सुखम्,[[तस्य लोपः (1.3.9)]]
कुतः सुखम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
कुतः सुखम्,[[वा शरि (8.3.36)]]
सुखम्,-
