स्थिति,सूत्र
तत् बुद्धयस्,-
तद् बुद्धयस्,[[झलां जशोऽन्ते (8.2.39)]]
बुद्धयस् तत्,-
बुद्धयरुँ तत्,[[ससजुषो रुः (8.2.66)]]
बुद्धयर् तत्,[[तस्य लोपः (1.3.9)]]
बुद्धयः तत्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
बुद्धयस् तत्,[[विसर्जनीयस्य सः (8.3.34)]]
तत् आत्मानस्,-
तद् आत्मानस्,[[झलां जशोऽन्ते (8.2.39)]]
आत्मानस् तत्,-
आत्मानरुँ तत्,[[ससजुषो रुः (8.2.66)]]
आत्मानर् तत्,[[तस्य लोपः (1.3.9)]]
आत्मानः तत्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
आत्मानस् तत्,[[विसर्जनीयस्य सः (8.3.34)]]
तत् निष्ठास्,-
तद् निष्ठास्,[[झलां जशोऽन्ते (8.2.39)]]
तन् निष्ठास्,[[यरोऽनुनासिकेऽनुनासिको वा (8.4.45)]]
निष्ठास् तत्,-
निष्ठारुँ तत्,[[ससजुषो रुः (8.2.66)]]
निष्ठार् तत्,[[तस्य लोपः (1.3.9)]]
निष्ठाः तत्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
निष्ठास् तत्,[[विसर्जनीयस्य सः (8.3.34)]]
तत् परायणास्,-
तद् परायणास्,[[झलां जशोऽन्ते (8.2.39)]]
तत् परायणास्,[[खरि च (8.4.55)]]
परायणास्,-
परायणारुँ,[[ससजुषो रुः (8.2.66)]]
परायणार्,[[तस्य लोपः (1.3.9)]]
परायणाः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
गच्छन्ति अपुनरावृत्तिम्,-
गच्छन्त्यपुनरावृत्तिम्,[[इको यणचि (6.1.77)]]
गच्छन्त्यपुनरावृत्तिम् ज्ञाननिर्धूतकल्मषास्,-
गच्छन्त्यपुनरावृत्तिं ज्ञाननिर्धूतकल्मषास्,[[मोऽनुस्वारः (8.3.23)]]
ज्ञाननिर्धूतकल्मषास्,-
ज्ञाननिर्धूतकल्मषारुँ,[[ससजुषो रुः (8.2.66)]]
ज्ञाननिर्धूतकल्मषार्,[[तस्य लोपः (1.3.9)]]
ज्ञाननिर्धूतकल्मषाः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
