स्थिति,सूत्र
स्वभावजेन कौन्तेय,-
कौन्तेय निबद्धस्,-
निबद्धस् स्वेन,-
निबद्धरुँ स्वेन,[[ससजुषो रुः (8.2.66)]]
निबद्धर् स्वेन,[[तस्य लोपः (1.3.9)]]
निबद्धः स्वेन,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
निबद्धः स्वेन,[[वा शरि (8.3.36)]]
स्वेन कर्मणा,-
कर्मणा,-
कर्तुम् न,-
कर्तुं न,[[मोऽनुस्वारः (8.3.23)]]
न इच्छसि,-
नेच्छसि,[[आद्गुणः (6.1.87)]]
नेच्छसि यत्,-
यत् मोहात्,-
यद् मोहात्,[[झलां जशोऽन्ते (8.2.39)]]
यन् मोहात्,[[यरोऽनुनासिकेऽनुनासिको वा (8.4.45)]]
मोहात् करिष्यसि,-
मोहाद् करिष्यसि,[[झलां जशोऽन्ते (8.2.39)]]
मोहात् करिष्यसि,[[खरि च (8.4.55)]]
करिष्यसि अवशस्,-
करिष्यस्यवशस्,[[इको यणचि (6.1.77)]]
करिष्यस्यवशस् अपि,-
करिष्यस्यवशरुँ अपि,[[ससजुषो रुः (8.2.66)]]
करिष्यस्यवशर् अपि,[[तस्य लोपः (1.3.9)]]
करिष्यस्यवश उ अपि,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
करिष्यस्यवशो अपि,[[आद्गुणः (6.1.87)]]
करिष्यस्यवशोऽपि,[[एङः पदान्तादति (6.1.109)]]
करिष्यस्यवशोऽपि तत्,-
तत्,-
तद्,[[झलां जशोऽन्ते (8.2.39)]]
तत्,[[वाऽवसाने (8.4.56)]]
