स्थिति,सूत्र
यावान् अर्थस्,-
अर्थस् उदपाने,-
अर्थरुँ उदपाने,[[ससजुषो रुः (8.2.66)]]
अर्थर् उदपाने,[[तस्य लोपः (1.3.9)]]
अर्थय् उदपाने,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
अर्थ उदपाने,[[लोपः शाकल्यस्य (8.3.19)]]
उदपाने सर्वतस्,-
सर्वतस् सम्प्लुतोदके,-
सर्वतरुँ सम्प्लुतोदके,[[ससजुषो रुः (8.2.66)]]
सर्वतर् सम्प्लुतोदके,[[तस्य लोपः (1.3.9)]]
सर्वतः सम्प्लुतोदके,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
सर्वतः सम्प्लुतोदके,[[वा शरि (8.3.36)]]
सम्प्लुतोदके,-
तावान् सर्वेषु,-
सर्वेषु वेदेषु,-
वेदेषु ब्राह्मणस्य,-
ब्राह्मणस्य विजानतस्,-
विजानतस्,-
विजानतरुँ,[[ससजुषो रुः (8.2.66)]]
विजानतर्,[[तस्य लोपः (1.3.9)]]
विजानतः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
