स्थिति,सूत्र
यत् यत्,-
यद् यत्,[[झलां जशोऽन्ते (8.2.39)]]
यत् विभूतिमत्,-
यद् विभूतिमत्,[[झलां जशोऽन्ते (8.2.39)]]
विभूतिमत् सत्त्वम्,-
विभूतिमद् सत्त्वम्,[[झलां जशोऽन्ते (8.2.39)]]
विभूतिमत् सत्त्वम्,[[खरि च (8.4.55)]]
सत्त्वम् श्रीमत्,-
सत्त्वं श्रीमत्,[[मोऽनुस्वारः (8.3.23)]]
श्रीमत् ऊर्जितम्,-
श्रीमद् ऊर्जितम्,[[झलां जशोऽन्ते (8.2.39)]]
ऊर्जितम् एव,-
एव वा,-
वा,-
तत् तत्,-
तद् तत्,[[झलां जशोऽन्ते (8.2.39)]]
तत् तत्,[[खरि च (8.4.55)]]
तत् अवगच्छ,-
तद् अवगच्छ,[[झलां जशोऽन्ते (8.2.39)]]
अवगच्छ त्वम्,-
त्वम् मम,-
त्वं मम,[[मोऽनुस्वारः (8.3.23)]]
मम तेजस्,-
तेजस् अंशसम्भवम्,-
तेजरुँ अंशसम्भवम्,[[ससजुषो रुः (8.2.66)]]
तेजर् अंशसम्भवम्,[[तस्य लोपः (1.3.9)]]
तेज उ अंशसम्भवम्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
तेजो अंशसम्भवम्,[[आद्गुणः (6.1.87)]]
तेजोऽंशसम्भवम्,[[एङः पदान्तादति (6.1.109)]]
तेजोऽंशसम्भवम्,-
