स्थिति,सूत्र
ततस् शङ्खास्,-
ततरुँ शङ्खास्,[[ससजुषो रुः (8.2.66)]]
ततर् शङ्खास्,[[तस्य लोपः (1.3.9)]]
ततः शङ्खास्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
ततः शङ्खास्,[[वा शरि (8.3.36)]]
शङ्खास् च,-
शङ्खारुँ च,[[ससजुषो रुः (8.2.66)]]
शङ्खार् च,[[तस्य लोपः (1.3.9)]]
शङ्खाः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
शङ्खास् च,[[विसर्जनीयस्य सः (8.3.34)]]
शङ्खाश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च भेर्यस्,-
भेर्यस् च,-
भेर्यरुँ च,[[ससजुषो रुः (8.2.66)]]
भेर्यर् च,[[तस्य लोपः (1.3.9)]]
भेर्यः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
भेर्यस् च,[[विसर्जनीयस्य सः (8.3.34)]]
भेर्यश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च पणवानकगोमुखास्,-
पणवानकगोमुखास्,-
पणवानकगोमुखारुँ,[[ससजुषो रुः (8.2.66)]]
पणवानकगोमुखार्,[[तस्य लोपः (1.3.9)]]
पणवानकगोमुखाः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
सहसा एव,-
सहसैव,[[वृद्धिरेचि (6.1.88)]]
सहसैव अभ्यहन्यन्त,-
सहसैवाभ्यहन्यन्त,[[अकः सवर्णे दीर्घः (6.1.101)]]
सहसैवाभ्यहन्यन्त सस्,-
सस् शब्दस्तुमुलस्,-
स शब्दस्तुमुलस्,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
शब्दस्तुमुलस् अभवत्,-
शब्दस्तुमुलरुँ अभवत्,[[ससजुषो रुः (8.2.66)]]
शब्दस्तुमुलर् अभवत्,[[तस्य लोपः (1.3.9)]]
शब्दस्तुमुल उ अभवत्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
शब्दस्तुमुलो अभवत्,[[आद्गुणः (6.1.87)]]
शब्दस्तुमुलोऽभवत्,[[एङः पदान्तादति (6.1.109)]]
शब्दस्तुमुलोऽभवत्,-
शब्दस्तुमुलोऽभवद्,[[झलां_जशोऽन्ते (8.2.39)]]
शब्दस्तुमुलोऽभवत्,[[वाऽवसाने (8.4.56)]]
